SZÉV igény szám,Státusz,Felelős,Igény dátuma,"Á(rajánlat)
R(endelés)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,
SZÉV2024-416,TRUE,IMP,11.19,Á,,"2024.11.20.
2025.05.29.","2024/000001388
BET2025/01762",M21174,FT CNC PRODUKT KFT.,SFM-760,,Főorsó csapágyak / csere orsó (10.000RPM) - 7012 - 4db (HS012CEI G/GLP42X - Smax 10.000,Csatolt email/fotó,1 klt + 1 db/Főorsó érkezett,CsZ,
SZÉV2024-417,FALSE,IMP,11.19,Á,,,,M307544,FERMY-2000 KFT,CW-322S /CD-305G,,"""generátor és fej közötti kábelekre"" lenne szükségünk",Csatolt email/fotó,2 db,CsZ,
SZÉV2024-418,FALSE,GYE,11.19,,,,,,SZÉV-Raktár,,,d=6 Egyenes rozsdamentes acél tömlő csap,Csatolt email/fotó,20 db,AL,
SZÉV2024-419,TRUE,ERA,11.20,R,,2024.11.21. 2025.02.05.,2024/000001389 2025/000000175,M030044,METALCONSTRUCT ZRT.,K-B640,,"20-00004995-00,Ajtókapcsoló / Omron D4SL-N4AFA biztonsági ajtóretesz",Csatolt email,"5 db/ 2 db érkezett, + 3 db megérkezett.",CsZ,
SZÉV2024-420,TRUE,,,,,2024.11.26.,2024/000001425,M17080,GYŐRFI JÓZSEF EV,MM-760,,Főorsó csapágy: 7012CTRSULP3 (3db) - Smax 8.000,Csatolt email,3 db,CsZ,
SZÉV2024-421,FALSE,ERA,11.21,R,,,,M17104,MAGYARMET KFT.,DECKEL MAHO DMC-70V,,Harting tömítés 2 db (Szegedi Dani vigye magával az alkatrészket és építse is be a lézeres bemérés alkalmával.),Csatolt email/fotó,2 db,PI,
SZÉV2024-422,TRUE,GYE,11.22,R,,2024.11.28. 2025.02.07.,BET2025/00422,M13236,HAJDU AUTOTECHNIKA IPARI ZRT.,ZD-725síkkösz,,"Elektromos szekrény ajtózár, 2 db (pontos méreteket Fejes Atitól lehet kérni)",Csatolt email/fotó,2 db/10 db érkezett.,FA,
SZÉV2024-423,TRUE,ERA,11.25,,,2024.11.26.,2024/000001427,M13236,HAJDU AUTOTECHNIKA IPARI ZRT.+ SZÉV-Raktár,ZD-725síkkösz,,"
Mágneskapcsoló / Schneider LP1-K0901BD mágneskapcsoló (4kW;24VDC) 20-00002464-00 
",Csatolt emai/fotó,1+1 db,AL,
SZÉV2024-424,TRUE,GYE,11.25,R,,2024.12.13.,BET2024/04292,M23162,NCT Taksony,HURCO VMX-24,,Főorsó csapágy 4db: 7014 C.T.2RSZ.P4A.UL (TH0551),Csatolt emai/fotó,4 db,CsZ,
SZÉV2024-425,TRUE,IMP,11.21,R,,2025.04.15.,BET2025/01322,M07286,RÁK ÉS RÁK BT.,TNL-85ADT,,"Munkatérben lévő rugalmas, térelválasztó szövet 1 db
Rák és Rák Z 001.jpg képen jelölt rögzítő lemez mérete (Rák és Rák Z 002.jpg). Figyeljenek erre oda, legutoljára rossz érkezett.",Csatolt email/fotó,1 db ,,
SZÉV2024-426,TRUE,GYE,11.21,R,,2024.11.22.,,M07161,SCINTILLA MACHINING KFT.,EML-510,,szerszámtár mozgatás munkahenger szelepek: SC-03 típus,Csatolt email/fotó,2 db,CsZ,
SZÉV2024-427,TRUE,IMP,11.21,Á,,2025.02.11.,BET2025/00460,SN 0612G-01,GROSSHAUS HUNGARIA KFT.,PSGS-30630BH,,Hosszán fogasléc (SD2111A rajzszám),Csatolt email/fotó,1 db,CsZ,
SZÉV2024-428,TRUE,GYE,11.21,R,,2024.11.26.,2024/000001425,M15260,MST ENGINEERING KFT.,MM-760,,Főorsó csapágy -  7012CTRSULP3 - orsó Royal 8.000 RPM,Csatolt email,3 db,CsZ,
SZÉV2024-429,TRUE,IMP,11.27.,R,,2025.02.20.,BET2025/00606,M23112,ALUMÍNIUMÁRUGYÁR ZRT.,S-TURN-92 (HT-92),,"Ajtózár réz, 10 db",Csatolt email/fotó,10 db,CsZ,
SZÉV2024-430,TRUE,IMP,11.27.,R,,2025.01.30.,BET2025/00287,M22091,BÁNYAI MŰVEK KFT.,BAOMA-NCT DK7740F huzalszikra (gysz: H221211),,"Csatolmányban szereplő eszközökből kérünk árajánlatot és szállítási határidőt, 1-1 db",Csatolt email/fotó,1-1 db,SzI,
SZÉV2024-431,TRUE,GYE,11.28.,,,,,,Szerviz raktár,,,"Téli szélvédőmosó, és szélvédő jégtelenítő",Csatolta email,10 kanna-20 db,AL,
SZÉV2024-432,TRUE,IMP,11.27.,R,,2025.04.15.,BET2025/01322,,Szerviz raktár,TMV-850 főorsó (gysz: 01561),,TMV-850 főorsó csatolt rajzon bejelölt alkatrészei,Csatolt email/fotó,1 klt.,PI,
SZÉV2024-433,TRUE,ERA,11.29.,R,,2025.01.15.,BET2025/00115,,SZÉV-Raktár,,,"20-00003464-00,Ventilátor / A2175HBT.TC 171x151x51 mm 230 VAC",Csatolt email/fotó,8 db,CsZ,
SZÉV2024-434,TRUE,LOG,11.29.,R,,2024.12.02.,2024/000001443,,SZÉV-Raktár,,,DAC-40/80-RE,,1 db,KI,
SZÉV2024-435,FALSE,LOG,11.29.,R,,,,,SZÉV-Raktár,,,DAC-60/120-RE,,1 db,KI,
SZÉV2024-436,TRUE,IMP,11.29.,Á,,2025.05.29.,BET2025/01760,M07161,SCINTILLA MACHINING KFT.,EML-510,,Szerszámtár mozgató munkahenger ,Csatolt email/fotó,2 db,CsZ,
SZÉV2024-437,TRUE,GYE,12.02.,,,2024.12.03.,,M21092,Szerviz raktár,CME FS-2,,32-es hajtómű olaj,Csatolt email/fotó,40 liter,AL,
SZÉV2024-438,FALSE,GYE,12.02.,,,,,,HAJDU AUTOTECHNIKA IPARI ZRT,ZD-750,,Ajtózár ,,2 db,AL,
SZÉV2024-439,FALSE,IMP,12.03.,R,,,,M21092,Járműszerelvényt Gyártó Zrt. ,CME FS-2 (gysz: FS-515),,W/HO Hydac 0280 B 05 szűrőbetét,,,,
SZÉV2024-440,FALSE,ERA,12.03.,,,,,,Szerviz raktár,,,"Kismegszakító / Schneider-iC60N-2P 06A-6kA (2C-06)A9F04206 A9,20-00002707-00",Csatolt email,3 db,AL,
SZÉV2024-441,TRUE,IMP,12.04.,R,,2024.12.06.,"BET2024/04181
BET2024/04203",M16140,RB METÁL KFT.,EmL-1020B,,"10-00011197-00,Tartalék / I-TA AEV550 tárforgató motor",Csatolt email/fotó,1 db,CsZ,
SZÉV2024-442,TRUE,ERA,12.05.,,,2024.12.11. 2025.02.05.,2024/000001516 2025/000000175,,Szerviz raktár,,,"Mágneskapcsoló / Schneider LP1-K0901BD mágneskapcsoló (4kW;24VDC),20-00002464-00    5 db
Ventilátor 120x120x38-as 24Vdc  20-00000208-00    10 db",Csatolt email,5-10 db/a ventilátorokat megkaptuk/a mágneskapcsolók is megérkeztek,AL,
SZÉV2024-443,FALSE,IMP,12.08.,,,,,,Szerviz raktár,"MM-800 főorsó (gysz: 691102J328, 10000 rpm)",,"Kérlek kérj főorsó rajzot a Microcuttól. A főorsóból hiányzó alkatrészeket szeretnénk pótolni, utánrendelni.",,,PI,
SZÉV2024-444,TRUE,ERA,12.05.,,,"2025.02.05.
2025.03.12.","2025/000000175

2025/000000371",,Szerviz raktár,,,"Csatlakozó / Harting  Cat5E RJ-45 (09 45 151 1100), 20-00004322-00",Csatolt email,30 db/10 db érkezett/éekezett 20 db,AL,
"SZÉV2024-445
",TRUE,ERA,12.05.,,,2025.02.05.,2025/000000175,,Szerviz raktár,,,"Ajtókapcsoló / Omron D4SL-N4AFA biztonsági ajtóretesz, 20-00004995-00,
 Segédérintkező / Telemecanique LA1-KN04 homlok segédérintkező (24V-os mágneskapcsolóhoz; 4xNC), 20-00001489-00 ",Csatolt email,"5 db
3 db",AL,
SZÉV2024-446,TRUE,IMP,12.07.,,,2025.05.29.,BET2025/01788,M23169,MSK,EM-1500 (gysz: V15-BT202404351),East Lion,"Euromill-1500 EM (M23169) berendezés komplett szűrőfiók, lásd a képen
",Csatolt email/fotó,,,05.21 Vámkezelésen van
SZÉV2024-447,TRUE,IMP,12.07.,,,2025.05.29.,BET2025/01788,M23169,MSK,EM-1500 (gysz: V15-BT202404351),East Lion,"Euromill-1500 berendezés komplett szűrőbetétek, az előző kép alapján",Csatolt email/fotó,,,05.21 Vámkezelésen van
SZÉV2024-448,FALSE,IMP,12.07.,,,,,M07153,MSK ,EM-3000 (gysz: BT2071002),,"Euromill-3000 berendezés ugyanezen szűrőbetétje.",Csatolt email/fotó,,,
SZÉV2024-449,TRUE,GYE,12.06.,,,2025.01.20.,BET2025/00155,,Szerviz raktár,,,AIRTAC GAFR30010ASG Nyomásszabályozó 10 db,10 db,Automata leeresztés. A GFR300-10 utódja.,CsZ,
SZÉV2024-450,FALSE,IMP,12.08.,,,,,M21092,Járműszerelvényt Gyártó Zrt. ,CME FS-2 (gysz: FS-515),,Árat és szállítási határidőt kérünk a képen látható hidraulika szivattyúra és tömítéskészletre (motorra nem).,Csatolt email/fotó,1 db,KP,
SZÉV2024-451,FALSE,IMP,12.08.,,,,,,Szerviz raktár,"MM-760 főorsó (gysz: 691803A102, 8000 rpm)",,"Kérlek kérj főorsó rajzot a Microcuttól. A főorsóból hiányzó alkatrészeket szeretnénk pótolni, utánrendelni.",,,PI,
SZÉV2024-452,FALSE,IMP,12.08.,,,2025.02.20,BET2025/00606,,Szerviz raktár,"MM-760 főorsó (gysz: 691403A039, 8000 rpm)",,"Kérlek kérj főorsó rajzot a Microcuttól. A főorsóból hiányzó alkatrészeket szeretnénk pótolni, utánrendelni.","Tartalék / MM-430 / Főorsó retesz 061.091.000.B19,10-00034200-00, 8 db",,PI,
SZÉV2024-453,FALSE,IMP,12.08.,,,,,,Szerviz raktár,"TMV-510 főorsó (gysz: G20649, ??? rpm)",,"Kérlek kérj főorsó rajzot a Tong-Tai-tól. A főorsóból hiányzó alkatrészeket szeretnénk pótolni, utánrendelni. Adják meg a főorsó fordulatszámát is.",,,PI,
SZÉV2024-454,FALSE,IMP,12.08.,,,,,,Szerviz raktár,"VU-620 főorsó (gysz: 391389, 15000 rpm)",,"Kérlek kérj főorsó rajzot a Manfordtól. A főorsóból hiányzó alkatrészeket szeretnénk pótolni, utánrendelni.",,,PI,
SZÉV2024-455,TRUE,GYE,12.09.,,,2024.12.11.,2024/000001508,,Szerviz raktár,,,"Szűrő / Szűrőbetét FILTREC DMD0030E20B,10-10002926-00",Csatolt email,10 db/8 db érkeztt,AL,
SZÉV2024-456,TRUE,IMP,12.10.,,,2025.05.06.,BET2025/01510,,Szerviz raktár,,,"Tartalék / HT / Led lámpa / Q-0112-00411 / AFL-L15CN-AD24, 10-00033353-00",Csatolt email,5 db,AL,
SZÉV2024-457,TRUE,GYE,12.10.,,,"2025.02.10.
2025.02.11.",,,Szerviz raktár,,,Mágnes talpas állvány,Csatolt email/fotó,"2 db/1 db érkezett""kics""/2 db nagy érkezett",AL,
SZÉV2024-458,TRUE,IMP,12.11.,R,,2025.01.29.,BET2025/00260,M22148,ALSTOM HUNGARY KFT. ,AXA-VSC-3-5000,,"SOS gépállás! Az AXA szerszámcserélő hajtómű.pdf-ben jelöltük a beküldendő alkatrészeket. Véleményünk szerint az AXA tár hajtómű 002.jpg képen jelölt részről hiányzik a tömítés, ezért elfolyt a víz. SOS küldjék garanciában a cserélendő alkatrészeket. A GIFIR tár 20221005.pdf megrendelésben szereplő tár hajtómű gyáriszám: G2200325",Csatolt email/fotó,1 készlet,TI,
SZÉV2024-459,TRUE,IMP,12.12.,R,,2025.02.20.,BET2025/00606,M12328, METAL GRINDING KFT.,MM-760,,"""Y"" tengely olajzócső cserére 3db 10-0009629-00 ""x"" tengely olajzócső 5db 10-00009524-00, ""z"" tengely olajzócső 2db 10-00009630-00 ",,,ZSP,
SZÉV2024-460,FALSE,GYE,12.13.,A,,,,M07321,ANDRITZ,SKODA 250W,,"""S"" motor kábel árajánlat 21-00012311  4x0,95 80 m",,,ZSP,
SZÉV2024-461,TRUE,GYE,12.13.,R,,2025.01.07.,2025/000000024,M21186,Csaba Metál Zrt,EMB-1605G,,"Energiavezető / CPS033.27.R75 tag,10-00011813-00 + Energiavezető / CPS Végelem szett (CPS 033),10-00011814-00 (2m+végelem*2szett)",Csatolt email (duplázni a csatolt BET-ást),2 szett,CsZ,
SZÉV2024-462,FALSE,GYE,12.16.,,,,,M07321,ANDRITZ,SKODA 250W,,ENERGIAVEZETŐ Árajánlat kérés,,2 szett,ZSP,
SZÉV2024-463,FALSE,IMP,12.16.,R,,,,M11110,TRIMBLE HUNGARY KFT.,VD-510S,,"10-00029061-00,Tartalék / VD-510S / BT30 Szerszámtartó és annak öntvénye",Csatolt email/fotó,5 szett,CsZ,
SZÉV2024-464,TRUE,GYE,12.17.,R,,2025.06.13.,2025/000000741,,Szerviz Raktár,,,"Csapágy / 25 TAC62CSUHPN7C ferdehatásvonalú golyóscsapágy NSK, 10-10000263-00",Csatolt email,12 db/18 db érkezett,AL,
SZÉV2024-465,FALSE,LOG,12.17.,,,,,,Szerviz Raktár,,,"WDS VIZSZIVÁRGÁS ÉRZÉKELŐ SZENZOR, 40-70064270-02",Csatolt email,5 db,AL,
SZÉV2024-466,TRUE,GYE,12.17.,,,,,M10139,HAJDU AUTOTECHNIKA IPARI ZRT.,EmR-1200D,,Gumiütköző teleszkópos burkolathoz (méretek csatolva rajzon),Csatolt email,10 db,CsZ,
SZÉV2024-467,TRUE,IMP,12.18.,,,2025.01.27.,BET2025/00247,M16164,METARAD CNC KFT.,CV-7A (gysz: 260201),,Tudnal kerni a Kafotol a szerszam cserelo kar tomiteseirol meretet vagy akar javito keszletrol AA tot ? ,Csatolt email/fotó,3 klt.,KP,
SZÉV2024-468,TRUE,GYE,12.18.,,,2024.12.19.,,,Telephelyi Javítás,,,Smici Petitől kapott lista alapján.,Csatolt email/fotó,2 klt.,AL,
SZÉV2024-469,TRUE,IMP,12.18.,,,2025.04.16.,BET2025/01408,M10139,HAJDU AUTOTECHNIKA IPARI ZRT.,VL-1200 (gysz: 990501),,Hány db gumiütköző szükséges az Y-tengely vezetékvédőjéhez? Hány db gumiütköző szükséges az összes tengely vezetékvédőjéhez? Kérünk rá árat és szállítási határidőt.,Csatolt email,,ZsP,
SZÉV2024-470,TRUE,IMP,12.18.,,,,,B30326,PREMIUM PARTS DESIGN KFT.,Proth PSGS-4070AH,,Ajánlatot szeretnék kérni egy Proth síkköszörűhöz tartozó Áttétel házra. A mágneses forgó forgács leválasztó és a meghajtó motor között van (K009-380-400A MAGNET FILTER MOTOR+ REDUCER),Csatolt email,,CsZ,
SZÉV2024-471,TRUE,GYE,12.18.,,,2025.01.08.,BET2025/00025,,Szerviz Raktár,EmL/EmR,,"
Hao Cheng 3,5 tonnás, 13 mm löketű erőfokozó tömítés készlet",Csatolt email/ fotó,3 klt.,AL,
SZÉV2024-472,FALSE,,,,,,,,,,,,,,,
SZÉV2024-473,FALSE,,,,,,,,,,,,,,,
SZÉV2024-474,FALSE,,,,,,,,,,,,,,,
SZÉV2024-475,FALSE,,,,,,,,,,,,,,,
SZÉV2024-476,FALSE,,,,,,,,,,,,,,,
SZÉV2024-477,FALSE,,,,,,,,,,,,,,,
SZÉV2024-478,FALSE,,,,,,,,,,,,,,,
SZÉV2024-479,FALSE,,,,,,,,,,,,,,,
SZÉV2024-480,FALSE,,,,,,,,,,,,,,,
SZÉV2024-481,FALSE,,,,,,,,,,,,,,,
SZÉV2024-482,FALSE,,,,,,,,,,,,,,,
SZÉV2024-483,FALSE,,,,,,,,,,,,,,,
SZÉV2024-484,FALSE,,,,,,,,,,,,,,,
SZÉV2024-485,FALSE,,,,,,,,,,,,,,,
SZÉV2024-486,FALSE,,,,,,,,,,,,,,,
SZÉV2024-487,FALSE,,,,,,,,,,,,,,,
SZÉV2024-488,FALSE,,,,,,,,,,,,,,,
