SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-001,TRUE,GYE,01.05.,,0,01.17.,,M06151,Huszár,TMV-1600,1129-205,"Kérlek rendeljetek 2 db 1129-205-201 forgóátvezetőt SZÉV tartalékba (TMV gépekhez használt típus)!
Az utolsót odaadjuk az M06151 Huszár Kft. TMV-1600 géphez.",,DÁ,
SZÉV2022-002,TRUE,IMP,01.05.,,,03.28.,,M05006,Dendrit,TMV-850A,szerszámcserélő részegység MR4AK0025A04 (7tétel - zseb pozicionáló),,,CsZ,
SZÉV2022-003,TRUE,GYE,01.05.,,,01.31.,,M17116,Vörös Ipari,EmR-1020D,Polikarbonát 365x665x6 - 4db,10-00016816-00,,CsZ,
SZÉV2022-004,TRUE,GYE,01.05.,,,01.06,,M16135,Loko Trans,BNC-40120,Szivattyú és motor hidraulikához,,,CsZ,
SZÉV2022-005,TRUE,GYE,01.06.,,0,2022.01.07,2022/000000030,,Frank Hungária,EmL-1200,2 db vizipisztoly,,,DÁ,
SZÉV2022-006,FALSE,IMP,01.06.,,,újra elküldve 2023ban,,,SZÉV tartalék,,"Mindman mágnesszelep / MVSC-300-4E1,10-00032953-00 - 3db",,,CsZ,
SZÉV2022-007,TRUE,GYE,01.07.,,0,01.11,,M10143,FMF,EmB-1104G,1 db Deublin 1101-632-343,"Visszapótlást kérünk, az utolsót felhasználjuk az FMF-nél.",,DÁ,
SZÉV2022-008,TRUE,GYE,01.07.,,,01.21,,M11161,EFT,JCL-60AHD-CNC,Rev.fej dió (D22x34) 5db ,LS-240-VDI30,,CsZ,
SZÉV2022-009,TRUE,IMP,01.07.,,,05.23.,BET2022/02042,M05042,HANTECH GÉPGYÁRTÓ ÉS FORGALMAZÓ ZRT.,TNL-100A,"munkatérben lévő rugalmas, térelválasztó szövet",,,CsZ,
SZÉV2022-010,TRUE,GYE,01.10.,,1,01.11,,M11162,GÖMBÖLYÍTŐ,EmL-1020B,2 db Deublin 1109-020-188,"1 db Gömbölyítő, 1 db SZÉV tartalék->M17203 P17003 Doroti Pack MM-800S/MM-850SV",,DÁ,
SZÉV2022-011,FALSE,IMP,01.11.,,1,,,M06151,HUSZÁR,TMV-1600,főorsó feletti vízbevezető lap,elrepedt,,DÁ,
SZÉV2022-012,TRUE,GYE,01.11.,,,01.17,,M15290,KAL-SYSTEM KFT.,BNC-2280,Szűrő / P551551 Donaldson szűrőbetét - 5db,,,CsZ,
SZÉV2022-013,TRUE,GYE,01.11.,,,01.12,,M18169,MAGYARMET,MXS-650DD,"10-00033402-00,Tartalék / 30 bar-os VOP-220-F-RV-C szivattyú",,,CsZ,
SZÉV2022-014,TRUE,GYE,01.12.,,1,01.18,,M21013,MVM PAKSI ATOMERŐMŰ ZRT.,EML-1200V,4 db NTN HSE7014CT2GD2/G3P4 főorsó csapágy,15.000 fordulatú főorsóhoz,,DÁ,
SZÉV2022-015,TRUE,IMP,01.12.,,1,03.18,,M16135,Loko Trans,BNC-40120,Szivattyú és motor hidraulikához,,,CsZ,
SZÉV2022-016,TRUE,GYE,01.13.,,0,01.13,,,Steelforg,EmL-610,8 db 30TAC csapágy (X és Y tengelyhez) + 8 db SZÉV tartalék,,,CsZ,
SZÉV2022-017,TRUE,GYE,01.13.,,0,02.07,,M04205,Gyuró Technik,TNL-100AL2,TNL-100AL2 főorsó csapágy készlet,"Szükségünk van 1 készlet főorsó csapágyra TNL-100AL2 főorsóhoz:
1 db NN3020K
1 db 100BA10xTYDBLP4A
1 db NN3017K",,DÁ,
SZÉV2022-018,TRUE,GYE,01.17.,,,01.18,,M06222,Steelforg,Euromill610,X tengely energia vezető,"B15.015.038 , 80cm hosszú legyen kérlek",,DÁ,
SZÉV2022-019,TRUE,GYE,01.19.,,,01.21,,M17127,PEMÜ Műanyagipari kft.,BNC-2240,"10-00016079-00 1db szíj HTD 1050-5M , 15mm széles",,,DÁ,
SZÉV2022-020,TRUE,GYE,01.19.,,,02.14,,M18236,JANDEM KFT.,MM-850SV,Levegőelőkészítő csésze: AirTAC Æ45.5,5db,Részemről ez már lezárva S.A.,CsZ,
SZÉV2022-021,TRUE,GYE,01.21.,,,01.24,,M20083,ROYAL PRODUCTION KFT.,EML-1020E,Forgácskihordó motor  G12V2000S-100,,,CsZ,
SZÉV2022-022,TRUE,GYE,01.24.,,,01.25,,M20183,TOBROCO MACHINERY KFT.,CT-60,kenőrendszerhez tartály ,"kaptunk: MPT 60.824.2 , szivattyú Type TA56B4",,DÁ,
SZÉV2022-023,TRUE,GYE,01.24.,,,01.26,,M20095,RPS-ROBOT KFT.,SFM-760 (VM-760),"a szerszámtár burkolata össze lett karcolva - festéshez kérnénk csomagot kijavítani (festék, henger, hígító...)",,,CsZ,
SZÉV2022-024,TRUE,GYE,01.25.,,,ÜF nem rendelte meg,,M11161,EFT KFT.,JCL-60AHD,főorsó csapágyak,"BEARING 110BTR10ETYNDBLP4A 1 PC 
BEARING NN3020 TBKRCC0P5 1 PC 
BEARING NN3022 TBKRCC0P5 1 PC ","Az ajánlatot  jan. 27 elküldtük. Választ nem kaptunk,hogy rendelhető-e.",DÁ,
SZÉV2022-025,TRUE,GYE,01.25.,,,SZTORNÓ,,,SZÉV tartalék,,csapágy,"1db SKF Explorer 6205-2RSLTN9/C3VT162 , 
1db SKF Explorer 6204-2Z","Megoldódott, zárható",DÁ,
SZÉV2022-026,TRUE,GYE,01.25.,,,,,M15228,Best-Tool Kft.,VD-510,tányérrugó,100 db DIN2093 50CrV4 28x12.2x1.5mm ,Megrendelve; 02.11-ig érkezik. Részemről Zárható ,DÁ,
SZÉV2022-027,TRUE,GYE,01.26.,,,,,,SZÉV tartalék,"MM760,EML-1020-1200",tányérrugó,"MM760 - 34.00x16.30x2.00 (S4312) 100darab
Euromill 1020-1200 - 40x20,4x2,5 (S4326) 100darab",Megrendelve; 02.11-ig érkezik Részemről Zárható ,DÁ,
SZÉV2022-028,TRUE,,01.26.,,,,,M08134,POLIOL PET,EML-510,265×665×4mm_4db - ablak (mind három rendelhető anyagra),,Nem kéri az ügyfél,CsZ,
SZÉV2022-029,TRUE,,01.26.,,,,,M08048,POLIOL PET,EmL-610,365×665×4mm_4db - ablak (mind három rendelhető anyagra),,Nem kéri az ügyfél,CsZ,
SZÉV2022-030,TRUE,GYE,01.26.,,,01.28,,,SZÉV tartalék,MM760,menesztő dió ,SK40-es főorsóhoz,"Már bekerült 
jan. 27",DÁ,
SZÉV2022-031,TRUE,,01.27.,,,01.28,,M20183,TOBROCO,CT-60,tokmány szorítás nyomáskapcsoló - 2db,,,DÁ,
SZÉV2022-032,FALSE,,01.27.,,,,,Y5187/1986,BOMBARDIER,Mitsubishi MPA H50A,Tengelykapcsoló CS-32-78-2A-G,10-00003674-00,,CsZ,
SZÉV2022-033,TRUE,IMP,01.27.,,,05.17.,BET2022/01942,M15065,GYOPÁR 2000 KFT. ,RY-42,"(3.9) z golyósorsó,
(1.8) x lineáris vezeték,
(1.14) x lineáris kocsi,
(3.7, 3.13) z tengely csapágy,
(1.5) x tengely csapágy,
(1.1) x tengely záróanya,
(1.7) x golyósorsó,
alsó x gumi roló,",emailben csatolva a hozzátartozó képek tételszámmal ,,CsZ,
SZÉV2022-034,TRUE,GYE,01.27.,,,02.08,,M20144,TOMETAL KFT.,KAFO-NCT CV-7A,"8 db 3/8"" menetes csatlakozó,
8 db 10mm-es lapos szórófej
","csatlakozó 10-00020075-00, szórófej 10-00009254-00",Ma bekerül 02.07,DÁ,
SZÉV2022-035,FALSE,GYE,01.28.,,,,,,SZÉV tartalék,,"10m PG21-es E.F. (3/8"") anaconda cső",kép csatolva,Továbbítottam Erikának ,DÁ,
SZÉV2022-036,TRUE,,,,,ÜF nem rendelte meg,,M11161,EFT,JCL-60AHD-CNC,Rev.fej dió (D22x34) 5db ,LS-240-VDI30,,CsZ,
SZÉV2022-037,TRUE,GYE,01.28.,,,02.04,,,SZÉV tartalék,AMS-112,"csapágyanya 1 db ZM 90x2, 1db MSR 55x1,5",,,DÁ,
SZÉV2022-038,TRUE,,,,,08.12.,"BET2022/03225, BET2022/03224",M11110,TRIMBLE HUNGARY KFT.,VD-510S,szerszámtartó zseb + öntvény,,,CsZ,
SZÉV2022-039 (40es emailben),TRUE,GYE,01.31.,,,08.02.,BET2022/03103,M19115,MOBILINTER KFT,TCS-2500LDX,"- idle gear (which is between the live tool gear and the central gear) with O-rings (10)(08a + 08c)
- central gear (16) (inner diameter: 250 mm, outer diameter: 335 mm)
- needle bearing with needles (16b)
- 2 pcs thrust ring (16a)
- sealing kit (02d + 02b + 02f)
- driven tool gear (93) with shaft () and bearings (94 + 95) without coupling
- live tool seal kit (TBMA-200 seal kit.pdf-ben jelölve)",képek csatolva,Gye-->Babett,DÁ,
SZÉV2022-040,TRUE,GYE,,,,,,M17226,First-Tech,KFO-650DD,Forgácstároló kocsi szalagos forgácskihordóhoz,10-00009245-00,Már bekerült 02.02,CsZ,
SZÉV2022-041,TRUE,Babett,02.01.,,,,,,SAM-SHIPBUILDING AND MACHINERY a.s.,,Baumüller DSO100 L15,kép csatolva,Nem kéri az ügyfél,DÁ,
SZÉV2022-042,TRUE,GYE,02.01.,,,02.02.,,M04205,Gyuró Technik,TNL-100AL2,DAF132K23A15-5 főmotor csapágyak ,"6310 ZZ C3 -1db, 6312 ZZ C3 - 1db",,DÁ,
SZÉV2022-043,TRUE,Babett,02.02.,04.27.,1,,,M13329,Czetec,HG400 II,"Palettarögzítő elemek, tömítések cseréje, dokumentáció igény",képek csatolva,,Kiss L,
SZÉV2022-044,FALSE,GYE,02.02,,,,,,SZÉV tartalék,,"10 m 5x2,5-es betáp kábel + 1 db 32A 5pólusú dugvilla",,Már bekerült 02.03 GYE-->Erika,DÁ,
SZÉV2022-045,TRUE,GYE,02.04.,,,02.07,,,SZÉV tartalék,,"20db Omron P2RF-08-E 2érintkezős relé foglalat, csúszósaru 1,5mm-es kábelhez 50-50db minden méretből",,GYE-->Erika,DÁ,
SZÉV2022-046,TRUE,GYE,02.04.,,,02.08.,,M11087/M22027,EFT KFT.,JCL-75,1db csapágy 6203-2Z/C3,,Ma bekerül 02.07.,DÁ,
SZÉV2022-047,FALSE,GYE,02.04.,,,,,,SZÉV tartalék,,5db Schneider LP1K0901BD védőkapcsoló,,GYE-->Erika,DÁ,
SZÉV2022-048,FALSE,GYE,02.07.,,0,,,,NCT Taksony,AMS180SW20H,Orsócsapágy párban SKF 7026 ACD.P4A.DBA 130x200x2x33(1+1) db ,,210224351 Pannon Csapágy Kft. Utalandó ,Kiss L,
SZÉV2022-049,FALSE,GYE,02.07.,,0,,,,NCT Taksony,AMS180SW20H,Hengergörgős csapágy SKF N 1022 AKSP 110x170x28  1 db ,,210224351 Pannon Csapágy Kft. Utalandó ,Kiss L,
SZÉV2022-050,TRUE,GYE,02.07,,,02.08,,M15219,CSABA METÁL ZRT.,EmB-1305G,Deublin (902-120-188) forgócsatlakozó,10-00002612-00,Ma bekerül 02.07,DÁ,
SZÉV2022-051,FALSE,LOG,02.07.,,0,,,M18246,MST ENGINEERING,MXS-400DD,NCT 3- AiS100 motor javíttatás a Csapó fému kft.-nél,Igény elküldve a motor adattáblája csatolva,,DÁ,
SZÉV2022-052,FALSE,LOG,02.07.,,0,,,-,SZÉV tartalék,-,Raktárra 1 db AiS100 motor viszapótlás,Jelezve e-mailben is,,DÁ,
SZÉV2022-053,FALSE,GYE,02.07.,,0,,,M15292,NCT Taksony,FQS-40,Bordásszíjak,,Már bementek . Részemről zárható ,DÁ,
SZÉV2022-054,TRUE,GYE,02.08.,,1,02.09.,,M16143,Liker kft,HTL 76,2 db  6309V csapágy + 2 tartalék,,Főmotor csapágyak,DÁ,
SZÉV2022-055,TRUE,GYE,02.08.,,,02.21,,M05006,DENDRIT,TMV-850A,MC ISE30A-01-B kapcsoló,,,DÁ,
SZÉV2022-056,TRUE,IMP,02.08.,,0,04.04,,M04095,BOCZ-N KFT.,K-B1050,ellensúly lánc,"(B-105-23058),10-00002234-00 - 3pár",,CsZ,
SZÉV2022-057,TRUE,IMP,02.08.,,0,04.04,,-,SZÉV tartalék,B640,ellensúly lánc,"(B-1080-1),10-00001265-00 - 3pár",,CsZ,
SZÉV2022-058,TRUE,GYE,02.08.,,0,02.11,,-,SZÉV tartalék,-,5/3-as kézi váltású 1/4-es szelep /1 db  tesztekre,,,DÁ,
SZÉV2022-059,TRUE,GYE,02.08.,,,újra elküldve 2023ban,,,SZÉV tartalék,,"4x1,5 motor kábel 50m",,GYE-->Erika,DÁ,
SZÉV2022-060,FALSE,GYE,02.09.,,1,,,M18026,SL forg. kft,TCS-2000L\51 eszterga,Szíjtárcsa és motortengely feljavítás/ 6307-2Z/C3 és 6309-2Z/3C csapágyakból 1-1 db ,elküldve képpel,,Kiss L,
SZÉV2022-061,FALSE,IMP,02.09.,,0,,,-,SZÉV tartalék,-,5 db  B06F2-LB063A0072-BS-08/ LB63*72 20 szelep a képen látható csatlakozókkal,Képek e-malben,,KL,
SZÉV2022-062,FALSE,GYE,02.09.,,0,,,M15237,M+M Mintakészítő,EmR-610D,1 db Deublin 902-120-188,,"Folyamatban a SZÉV készletpótlás, utolsót használtuk fel, visszapótlást kérünk",LR,
SZÉV2022-063,FALSE,GYE,02.09.,,1,,,M16286,SGN-Steel (Pintér és Társa),EmR-1604D,"ideiglenesen 20 baros rendszer kiépítése, majd 70 baros rendszer kiépítése","#1: Az Adriánnal telefonon beszéltek alapján, kérlek készítsétek össze a 20 baros szivattyú kiépítéséhez szükséges anyagokat (szivattyú tartó cső, szűrőrendszer, tömlők, stb.). A tartálytoldat fent van a gépen a csatolt képnek megfelelően.

#2: A hiányos (szerviz által lerabolt) 70 baros rendszert kérlek küldjétek be nekünk, a 70 baros szivattyúval együtt és megpróbáljuk összeépíteni.",Részemről zárható,LR,
SZÉV2022-064,TRUE,IMP,02.09.,,,04.19,,M07160,INTERSTOP KFT.,EML-1020,"""Z"" tengely teleszkópos burkolat",,,CsZ,
SZÉV2022-065,TRUE,GYE,02.10.,,1,02.14.,,M17228,RÁK ÉS RÁK KFT,NCT MXS-300MT,4db  NTN 2179 5S- LAC- HSE-I  4C CSAPÁGY A 393526 BIG-PLUS SK40 FŐORSÓBA,,,DÁ,
SZÉV2022-066,FALSE,GYE,02.10.,,,,,-,SZÉV tartalék,-,"10-00016275-00,Pneumatika / Kompakt hangtompító R1/4 csatlakozással (SMC - AN10-01)",1 csomag,"Az AN10-01 1/8"" os Az AN10-02 1/4"" os . 1/4"" ost beküldtem",DÁ,
SZÉV2022-067,FALSE,Babett,02.10.,,0,,,M13206,Czetec,HG400III,Lista e-mailben,,,Kiss L,
SZÉV2022-068,TRUE,IMP,,,,04.20,,M14218,MAGYARMET,VD-510S,Motor (SVM-90L) ventillátor,(10-00033257-00) UF-15KM23,,CsZ,
SZÉV2022-069,TRUE,GYE,02.14.,,0,03.02,,M18322,Vörös Ip. ker. kft,HT-52,"Ton-Fu TF3B-08"" tokmány anya és keménypofa készlet",,,CsZ,
SZÉV2022-070,TRUE,GYE,02.14.,,,02.21,,M19007,GYŐRI SZC LUKÁCS SÁNDOR,MSL-200,DSG-02-3C2-D24-N,Tokmány hidraulika szelep,,CsZ,
SZÉV2022-071,TRUE,IMP,02.14.,,,04.20,,M14241,HOLES KFT.,EMR-1604D,Hinaka szerszámoldó szelep,"HNS523S-3BE,10-00027030-00",,CsZ,
SZÉV2022-072,TRUE,GYE,02.14.,,1,SZTORNÓ,,-,SL Manufacturing,MC2100,"G 162 szénkefe 8 db , 6207 2Z csapágy 2 db ",,,DÁ,
SZÉV2022-073,TRUE,GYE,02.14.,,1,03.02.,BET2022/00897,M19070,MST ENGINEERING,FBE-3000,ZF tartományváltó kapcsoló egység,ZF cikkszám: 0501 331 620,,DÁ,
SZÉV2022-074,TRUE,GYE,02.15.,,1,02.15.,,"M21042, M21043, M21044, M21045, M21211",Dunaújvárosi Egyetem,"EML-1200SV, SIMOS SCT-40, TCS-2000L, PROTH PSGS-4080AHR, BAOMA BMD-703-400",betáp kábelek,,,HA,
SZÉV2022-075,FALSE,GYE,02.16.,,0,,,-,SZÉV tartalék,-,"Torxkulcs készlet- 1 készlet, fémfűrész lap- 10 db ",,Részemről zárható,Kiss L,
SZÉV2022-076,TRUE,GYE,02.16.,,1,02.17,,M09131,Kokillaprec kft,VMC-1600F,  1 db  LYO 150936 150x170x15 szimering,,,DÁ,
SZÉV2022-077,TRUE,GYE,02.16.,,0,,,-,SZÉV tartalék,-,SK40-es marókúphoz 1 db kúptisztító,,,DÁ,
SZÉV2022-078,TRUE,IMP,02.17.,,,,,M11262,MAROSTECH,LT-65,Védőüveg 535X620X17.5mm-R987.5 (WD 10-00021300-00),A2022/01197 - 2db-t rendeltek,,CsZ,
SZÉV2022-079,TRUE,GYE,02.17.,,,02.21,,M21108,MGK 2000 Kft.,TCS-2000L,1db 10A 2 fázisú C-s kismegszakító + 2db szév tartalékba,,,DÁ,
SZÉV2022-080,TRUE,GYE,02.18.,,,03.01,,M06092,H.T.M.,EEN-400E,emulzió szivattyú és keresztszán burkolat,,,CsZ,
SZÉV2022-081,TRUE,GYE,02.21.,,0,02.25,,707489,SZÉV tartalék,NCT AC SERVO MOTOR A3-54-30EH/4096-2,1 db 6204 zz és 1 db 6205 zz csapágy,,,DÁ,
SZÉV2022-082,TRUE,IMP,02.21.,,,ÜF nem rendelte meg,,M15276,KM CNC KFT.,EmR-1304D,24es karos szerszámzseb kereszt - ISO40,,,CsZ,
SZÉV2022-083,TRUE,GYE,02.21.,,0,,,-,SZÉV tartalék,-,"1 db 80 dekás és 1 db 1.5 kg-os acél kalapács, 1 db digitális kijelzésű 0-150 mm-es tolómérő",,,Kiss L,
SZÉV2022-084,TRUE,GYE,,,,02.25,,M07066,GYURÓ TECHNIK ,K-HM2010,"3db - Nyomáskapcsoló gomba 20-50 BAR D=1/4"" NO (0166-413-03-1-051)",10-01000248-00,,DÁ,
SZÉV2022-085,TRUE,Babett,02.22.,,0,03.26,,M09131,Kokillaprec kft,"Golden Sun körasztal: CNC-200R (sorozatszám: 11200R351, gyártás 2011.03.)",fék gyűrű szett,VMC-1600F,,Kiss L,
SZÉV2022-086,FALSE,Babett,02.22.,,0,,,M09131,Kokillaprec kft.,"Golden Sun körasztal: CNC-200R (sorozatszám: 11200R351, gyártás 2011.03.)","1 db  dugattyú (piston), 1 db  dugattyúház (bottom cover)",VMC-1600F,,Kiss L,
SZÉV2022-087,FALSE,GYE,02.22.,,0,,,-,SZÉV tartalék,-,"4 db  M10 ""fakötésű"", beütős anya",,Kérek hozzá szabványszámot,Kiss L,
SZÉV2022-088,TRUE,GYE,02.23.,,,02.25,,,SZÉV tartalék,,"1méter hosszú M14 menetes szál, 3db M14 anya",,,DÁ,
SZÉV2022-089,FALSE,GYE,02.23.,,1,,,M13206,Czetec,HG400II,"1 db  51112 csapágy, 1 db  átmérő 12mm, 18 mm hosszú, köszörűlt, edzett görgő",,"Beküldve, részemről zárható",Kiss L,
SZÉV2022-090,TRUE,GYE,02.23.,,0,02.25.,,-,SZÉV tartalék,TNL-100AL2,"Tartalék szíjak: 1 db  345L vezérműszíj, 2 db  1 II 12 BANFLEXSCRUM 11 MS 2060 hosszbordásszíj a  DAF132K23A15-5 motorhoz",,,DÁ,
SZÉV2022-091,TRUE,GYE,02.24.,,,02.25,,,SZÉV tartalék,,8as csigafúró,,,DÁ,
SZÉV2022-092,TRUE,GYE,02.24.,,0,02.25,,M19007,GYŐRI SZAKKÉPZÉSI CENTRUM LUKÁCS SÁNDOR JÁRMŰIPARI ÉS GÉPÉSZETI TECHNIKUS ÉS KOLLÉGIUM ,MSL-200,szelep igény (kép csatolva), ,,DÁ,
SZÉV2022-093,TRUE,GYE,02.24.,,0,02.25.,,-,SZÉV tartalék,-,"50 db  M6x6-Imbuszcsavar, Fekete, saját szín felületű Acél, Hatlapú belső kulcsnyílású dugókulcs, félgömbfejű,",,,DÁ,
SZÉV2022-094,TRUE,IMP,02.24.,,0,07.06.,,M15303,MVM PAKSI ATOMERŐMŰ ZRT.,HBM-4,1 db  gázrugós ütköző (AD2540),,Belföldön nem beszerezhető - IMP intézi tovább,Kiss L,
SZÉV2022-095,TRUE,GYE,02.24,,0,04.04.,1,M15196/M17191,VÁMOSGÉP KFT.,WFQ-80NCT7,"1 db  6210-2RS1 tömített, mélyhornyú golyóscsapágy, 1 db  6310-2RS1 tömített, mélyhornyú golyóscsapágy, 2 db  ZARN 65125- TV kombinált csapágy",,,Kiss L,
SZÉV2022-096,TRUE,GYE,02.24,,,02.28,,,SZÉV tartalék,,szelep sapka (kép csatolva),,,DÁ,
SZÉV2022-097,TRUE,IMP,02.25,,0,08.22.,BET2022/03287,M11268,FI-LAK,MM-760,"""X"" golyósorsó - 10-00006838-00",R32-08E1-FSWE-945-1195-0.008 ,,CsZ,
SZÉV2022-098,TRUE,GYE,02.25,,,03.03,,,SZÉV tartalék,,raktár készlet pótlás - lista emailben ,"Megjött:                                                                                                           10db - pneu. gyorscsat. egyenes D08 R1/8""
10db -  pneu. gyorscsat. egyenes D10 R1/4""
5db - pneu. egy. toldó 2x10mmes csőhöz
10db - pneu. gyorscsat. toldó könyök 8-8
10db - pneu. gyorscsat. toldó könyök 10-10
3db - nyomásmérő óra 70bar 1/4"" alsó csatis
3-3-3db - golyóscsap 1/4"" 1/2"" 3/4"" ezekből a méretekből
Hiányzik:
5db - anya M16 (kábelvédelem)
5db - anya ehhez az Anaconda tömszelencéhez
3db - nyomásmérő óra 70bar 1/4"" hátsó csatis",Részemről zárható .,DÁ,
SZÉV2022-099,TRUE,GYE,02.25.,,,03.01,,,SZÉV tartalék,,kuplung + betét,,Részemről zárható .,DÁ,
SZÉV2022-100,TRUE,GYE,02.28.,,,04.12.,1,,SZÉV tartalék,,kuplung betét,(megrendelve),"Folymatban a hiányzó termékeke. 
Beérkezett:
2 db 10-10001626-00 Tengelykapcsoló / AES14V Trasco-ES zöld betét                                        
2 db 10-10001627-00 Tengelykapcsoló / AES14R Trasco-ES piros betét                                        
2 db 10-00037905-00 Tengelykapcsoló / ""M"" típusú holtjátékmentes tengelykapcsoló Zöld csillag (AES19/24V) - PIROS JÖTT HELYETTE!
2 db 10-00002735-00 Tengelykapcsoló / ""M"" típusú holtjátékmentes tengelykapcsoló piros csillag (AES19/24R)
2 db 10-00002736-00 Tengelykapcsoló / AES24/28R ""M"" típusú holtjátékmentes tengelykapcsoló piros csillag
2 db 10-00016145-00 Tengelykapcsoló / AES38/45 R ""M"" típusú holtjátékmentes tengelykapcsoló piros csillag  


Hátralék:
2 db 10-10001628-00 Tengelykapcsoló / AES24/28 V ""M"" típusú holtjátékmentes tengelykapcsoló zöld csillag  
2 db 10-10001622-00 Tengelykapcsoló / AES28/38 V ""M"" típusú holtjátékmentes tengelykapcsoló zöld csillag  
2 db 10-10001619-00 Tengelykapcsoló / AES38/45 V ""M"" típusú holtjátékmentes tengelykapcsoló zöld csillag  
2 db 10-10001622-00 Tengelykapcsoló / AES28/38 V ""M"" típusú holtjátékmentes tengelykapcsoló zöld csillag  ",DÁ,
SZÉV2022-101,FALSE,GYE,02.28.,,1,,1,M12297,ARCONIC-KÖFÉM KFT. ALCOA KÖFÉM KFT,TOMILL-160 ," X mozgatást szolgáló csapágyakra, bordásszíj tárcsa, fogazott szíj",Nem találtam meg biztosan a kért tételeket. A gép szétszerelve a vevő telephelyén. Emailben a részletek.,"Szíjtárcsából egyet kaptam . Ezt átadtam a GT-nek rajzkészítésre. - Golyósorsó rendelés előtt visszaellenőrzést várunk a  SZÉV-től. A következő tárgyú levél tartalmazza: KSK gyártású Tomill-160 Golyósorsó géprajz
",Kiss L,
SZÉV2022-102,TRUE,GYE,02.28.,,0,,,M09131,KOKILLA PREC KFT.,VMC-1600F,Golden Sun CNC200R(11200R351-2011-03) körasztalhoz 2 db  7003C csapágy,,,Kiss L,
SZÉV2022-103,TRUE,GYE,02.28.,,0,03.11.,,-,SZÉV tartalék,-,1 db  28-32-es körmöskulcs,,,Kiss L,
SZÉV2022-104,TRUE,GYE,02.28.,,0,04.04.,1,M21137,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,AG-400,"Mindkét orsóhoz szerszámbehúzó egység,  (mindkét orsóba csapágyak)1 db  INA NKI 50/25 P6 csapágy, 1 db  FAG 234410 csapágy, 1 db  FAG NN 3010 AK.SP A.D. csapágy, 1 db  FAG 234411 csapágy, 1 db FAG NN3011 AK SP Z D csapágy",,,Kiss L,
SZÉV2022-105,TRUE,GYE,02.28.,,,03.02.,,,SZÉV tartalék,,2db - 5/2 bistabil (10-16339),,,DÁ,
SZÉV2022-106,TRUE,GYE,02.28.,,0,,,M21137,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,AG-400,Főorsók köszörűlése,,,Kiss L,
SZÉV2022-107,FALSE,IMP,02.28.,,,,,M08073,MAGYARMET,TMV-1050,menesztő dió főorsóba,,,DÁ,
SZÉV2022-108,TRUE,GYE,03.01.,,0,,,M15230,KELET-SZERSZÁM KFT.,VD-510,2 db  SKF EXPLORER 6205-2RSLTN9/C3VT162  03 2978,"Visszavonva, volt a szervizraktárban.",,Kiss L,
SZÉV2022-109,TRUE,GYE,03.01.,,0,03.09.,,M20061,DONGFERR KFT.,BNC-2280 (AC-2580) ESZTERGAGÉP (Mascut),"1 db  6205Z csapágy, 1 db  6204Z csapágy, 1 db  SOG 102489  25X52X10     7 szimering",,,Kiss L,
SZÉV2022-110,TRUE,GYE,03.01.,,,03.03.,,,GRIF-TOOLS KFT.,EML-1020,klíma ,klíma adattáblája csatolva,Részemről zárható,DÁ,
SZÉV2022-111,TRUE,GYE,03.03.,,0,03.09.,,M09131,KOKILLAPREC KFT.,VMC-1600F,1db (IKO Japan) RNA4911 ,,,DÁ,
SZÉV2022-112,TRUE,GYE,03.04.,,,,,M18169,MAGYARMET,MXS-650DD,"10-00033402-00,Tartalék / 30 bar-os VOP-220-F-RV-C szivattyú","kérlek motort is ""kuplungozással"" kompletten küldjetek be tartaléknak",Részemről zárható. Import alkatrészeket az Importtól kérjeket tartaléknak!,CsZ,
SZÉV2022-113,TRUE,GYE,03.04.,,,-,,,SZÉV tartalék,,"mxs nagy nyomású szivattyúhoz szűrőbetét: 5db PF-06 [10-00033072-00], 5db [10-00033073-00]",,,DÁ,
SZÉV2022-114,TRUE,GYE,03.04.,,,03.09.,,,SZÉV tartalék,,1db MS 60019 csapágy,pneumatikus fúróba kell,Beküldtük. Részemről zárható,DÁ,
SZÉV2022-115,TRUE,GYE,03.04.,,,03.08.,,,JAKAB ISTVÁN EV,,reed relé - 88100144 (60v 500mA max),kép csatolva,,DÁ,
SZÉV2022-116,TRUE,GYE,03.04.,,,03.07.,,M15249,HAJDU AUTOTECHNIKA IPARI ZRT.,EMR-1020, levegőelőkészítő kenésbeállító kupak,kép csatolva,"ˇ""Az esetek nagy többségében nem tudok ilyen tartozékokat beszerezni, le kell az egész olajazó egységet cserélni.
Be kell kérni a típusát , szerintem van nektek raktáron. 
""
Részemről zárható ",DÁ,
SZÉV2022-117,TRUE,GYE,03.04,,0,03.09.,,M18180,DGA,KAFO BMC-2012,Z-tengely golyósorsó csapágyak,"2x3 db 40TAC72BDBD
2x4 db 40TAC72BDT
2x1 db 6007ZZ",,DÁ,
SZÉV2022-118,TRUE,GYE,03.04.,,,03.09.,,,SZÉV tartalék,,"2db 6204ZZC3, 2db 6205ZZC3",,,DÁ,
