Beérkezés dátuma,Kiküldés dátuma,Cég neve,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2018.05.08,2018.05.24.,Gyopár 2000,RY42 (M15065),munkadarab kihordó feszítője,szétesett a csapágy,Új görgő összerakva az új csapágyakkal,"- A feszítőgörgőt újra kell gyártani, mert belegyógyult a csapágy, műhelyrajz készült;
- 05.18. új feszítőgörgők legyártva
",5 óra,Akai Gábor,"2db 21x12x4 Szimmering
2db SKF 61801-2Z Csapágy","2db 12x21x4=180,95 Ft
2db 61801-2Z=3255,02 Ft",-,1
2018.04.26.,2018.05.,VFP System,EmR-1200D 5TT (M17051),NCT AiS100 motor,Leégett,"04.27. Jeladó és - tárcsa levétele, mehet Csapó úrhoz
05.18. motor visszakerült Csapótól, jeladó visszatéve rá",,,-,-,,-,1
2018.04.20,2018.05.08.,Fastron Hungária,EmB-1600VM (M08052),GIZIN szerszámcserélő karforgató mechanika,kar megszorul,"Hajtómű szétszedése, hiba meghatározása;
Donor hajtómű alkatrészeinek felhasználása
05.02. Szállítható","- Az mozgató kar kényszerpályában futó csapja eltört, illetve a kényszerpályák sérültek, cserére szorulnak;
Taksonyból donor karforgató mechanizmus beküldve;
- Editnek ment az email
- 05.02. még ajánlatra várunk",10 óra,-,"PÓTLANDÓ:
- 1 db görgős csap;
- 1 db felső kényszerpályás tárcsa; 
- 1 db alsó kényszerpályás tömb;
- 1 db mozgató kar;
- 1 db tömítőkeret;","- 1 pc. (#36) spacer; 
- 1 pc.(#37) spigot, 
- 1 pc. (#38) roller, USD35/SET;
- 1 pc. (#30) disc, USD305/EA;
- 1pc. (#31) block,  USD510/EA;
- 1pc. (#44) sealing USD4/EA
- 1 pc. (#6) revolving arm USD120/EA
",-,1
2018.04.19.,2018.05.04.,Gyuró-Technik,TNL-100AL2 (M04205),szerszámbemérő kar,kar lóg,"Öntvények újra festve; új kábelezés, új csapágyak","30as tengelyre körmös alátét kell 2 db;
32007J2/Q CSAPÁGY NEM JÓ! Más a kúpossága, emiatt belső átmérő kisebb és nem szerelhető! Eredeti csapágy: Nachi 32007J",8 óra,-,"Csapágyak:
- 1db SKF 32006 X/Q;
- 1db SKF 32007 X/Q ;
Szimmering:
- 1db SIM50x62x5",13.740 Ft,-,1
2018.04.18.,2018.04.24.,Dal-Tim,Kekeisen BM-25 (M15124),HPB VM132L-54-40-15-06 főmotor,testzárlatos,"Szíjtárcsa levéve, forgórész kivéve","Megégett a forgórész és a csapágyak, az állórész lemezelése egy ponton teljesen átégett, kilyukadt
A Dal-tim cseremotort kap: átjeladózás Tamagawa TTL-re, szíjtárcsa felszerelése, kiegyensúlyozása",Szeles+Dóri 3+3 óra felszerelés,-,-,,-,1
2018.04.17.,2018.05.17.,CNC Bakony,EEN-400 (M17217),BA-150 revolverfej,Szászi Dani: felújítás,"Kopott, hibás alkatrészek cseréje, tisztítás, újrazsírzás","05.11. Tartalék alkatrészek bekérése
05.17. összerakva, kiküldve Taksonyba",10 óra,-,"Szimikrontól bekérve:
- 2 db csúszótömítés
- 2 db retesz
- 1 db motor állórész
- 2 db tányérrugó",,-,1
2018.04.17.,2018.04.17.,KM Mechanika,,Siemens motor,,"Átcsapágyazás, összerakás (2 óra), Ervin jeladózza (1 óra)",-,3 óra,-,"Új csapágyak: 
1db 6003-2Z/C3 (1.629 Ft); 
1db 6204-2Z (1.936 Ft)",,-,1
2018.04.16.,2018.05.07.,Taritech,Kondia HM-1060,Főorsó (12 000 rpm) ,csapágyas,"Tüske 0,1-et üt, kúpot köszörülni kell, 
04.17. köszörülésre elküldve; 
04.20. köszörülésről visszajött;
04.23. csapágyak várható beérkezése; munkahenger ki lett küldve Ricsinek
05.02. munkahenger beküldve (tömítéskészlet+munkadíj): 51.160 Ft+ÁFA, csapágyak megérkeztek, stimmelnek;
05.04. összerakva, szállítható",-,12 óra,-,"Csapágy: 
- 1 pár NSK 70BNR10V-F 
- 1 pár NSK 60BNR10V
O-gyűrűk: 
- 1 db D22x1,8 
- 1 db D16x1,8 
- 2 db D40x2,75 (38x3 jön) 
- 1db D113x2,5 
- 1 db D150x2,5 
Tányérrugók: 
56 db D31,5xD16,3x2",csapágyak: 1647 EUR/klt.,"Behúzóerő: 
1. Méréskor: 6,7 kN (régi rugókkal)
2. Méréskor: 7,8 kN (új rugókkal)
Ütés: 0.01mm",1
2018.04.16.,2018.04.16.,NCT Akadémia,Euroturn 12,,revfej beállítás,revfej beállítva,-,,-,-,-,-,1
2018.04.16,2018.05.14.,Slezák,EEN-400,főorsó,,főorsót csapágyazni szükséges,"05.10:beérkeztek a csapágyak;
05.11. a főorsó csak a helyszínen szerelhető!","Ömböli: 1 óra bontás th
Smici: 1 óra
Smici+Ömboli: 3+3 óra",-,"Csapágyak:
1 db FAG NN3018 ASK MSP;
1 db SKF 51115;
1 db FAG 7214B P5UL","1db FAG 3018 ASK - 95.120 Ft
1db SKF 51115 Ft - 4.823 Ft
1db FAG 7214 B - 63.587 Ft
össz: nettó 163.530 Ft",-,1
2018.04.11.,2018.04.2x,Hajdu Autotechnika,EmR 1020D,Főorsó (10 000 rpm) ,csapágyazás,"Főorsó széthúzása;
Kúp megköszörülve (420EUR);
Munkahenger elküldve Ricsinek felújításra ->tömítéskészlet+munkadíj: 43.890 Ft+ÁFA","Teljesen szét van verve, a csapágyakat kimosta az olaj, egy csavar kiesett és berágódott; 
Eredeti csapágyak: 4 db Taiwan NL 5SI-7014C G/GNP4X",20 óra,-,"O-gyűrűk:
- 6 db D6 x 1,8
- 4 db D9,5 x 3
- 5 db D145 x 2,85
Csapágyak:
- 4 db FAG HCB7014-C-T-P4S-UL",,"Behúzóerő: 8,7 kN",1
2018.04.05.,2018.04.09-10,Ho-Ra,MFI,EZG730 motor,zárlatos,"forgórész csere, átcsapágyazás","volt csere forgórészünk; Smici összerakta, felvíve Hulmánynak",,-,2 db 6207ZZCM csapágy,-,-,1
2018.04.03.,2018.05.25.,Szalóky,TCS-2500,CL60-A6 patrontokmány,nem szorít megfelelően,05.25. ki lett küldve Taksonyba,"3 pofásat raktunk föl a gépre, azzal szépen működik",,-,-,,-,1
2018.03.29.,2018.04.05.,UNIFY,EEN,BA-150 revfej,"ügyfél szerint leégett a motorja, kábelezés, kábelvédelem cseréje","kábel javítás, kábelkorbács cseréje, kábel védő cső cseréje",Szegedi+Gulyás,4+4 óra,-,kábelek,-,-,1
2018.03.27.,2018.05.15.,Bocz-N,Kafo KMC-5135,Kafo szerszámcserélőkar,"Nem fog rá 
jól a szerszámra","Szétszerelés, hibakeresés
 05.11.: Szállítható","Az egyik megfogó 
karom lehajlott, ütközés 
nyoma látszik, cserés",4 óra,-,"03.27:Editnek szólva lett, intézi;
04.12:utalás után 30 nap múlva érkezik be
05.10:megérkeztek a karmok (2 jobbos és 2 balos)",200 USD/db,-,1
2018.03.27.,2018.04.11.,Csaba-Berényi,EmB-1605,Szerszámcserélő,Szorul,"Szétszerelés, hibakeresés;
Az excenter karban található csap teteje feljebb mozdult és összevert a csigakerékkel, ami ettől megszorult;
A csigatengely kúpcsapágyai rágtak, a csapágyak párban cserélve lettek;
Összeszerelés, Tesztjáratás","Hajtómű, motor, szíj behozva
Csapágy kiváltója:
SKF 30205 J2/Q S; szimmering: SKF 20x52x7 HMSA10 RG",15 óra ,-,"FOS TC 20x52x8 1 1 db szimmering 501Ft, csapágy: NSK HR 30205J 2 db 3196 Ft/db",6 893Ft,-,1
2018.03.19.,2018.05.09.,NCT Akadémia,EMCO VMC-300,szerszámtár mozgató,"Főorsó tetején 
lévő tármozgató összehegedt a 
szerszámmegfogó, billentőkerettel","Szerszámtár mozgató tárcsa fogaskerékkel. Szerszámmegfogó keret csapjainak cseréje
SZÜKSÉGES;
05.09. Főorsót ki kellett venni, át kell csapágyazni","Búr Gábornak 
ment az email, 
válaszra várunk;
2018.04.20. Jött ajánlat, viszont egy alkatrészt nem lehet pótolni;
05.03. megérkeztek az alkatrészek",4 óra,-,"Szíj:
- 2 db Optibelt PJ 711 Z8
Cserélő mechanizmus:
- 1 pár bronzpersely
- 1 pár csap
- 1 db fogaskerekes tárcsa
- 1 db csap a fogaskerekes tárcsába","Utalásonként 12+14 €, azaz 50 % előre + Áfa+
banki költség: 
-359,44 € előre, majd 15 napon belül még 359,44 €!!",-,1
2018.03.19.,2018.04.05.,NCT Akadémia,Tomill 220,-,"Nem lehet szerszámot cserélni, ajtó lóg, levegőszelep hátul lóg, magazin hajtás hiba, orientálás rossz","Ajtó javítása, levegőszelep rögzítése, orientálás beállítva, szerszámcsere pozíció beállítva, most már jól vált szerszámot","A szerszámmegfogót összenyomó állítócsavar összenyalódott a munkahengerrel, a csavart cseréltük, a menetet újravágtuk a munkahengerben, a szerszám így már befogható a főorsóba, viszont a behúzóerő gyenge, valószínűleg sérültek a tányérrugók",10 óra,-,-,-,"Behúzóerő: 1,4kN",1
2018.03.19,2018.04.9-11?,Fémo (Csapó),Simtra?,Sauter Revfej (zöld),indexáló tüske nem működik,mechanikus átvizsgálás,"Induktívot, jeladót beállítota KS, olajfolyás megmaradt, Ügyfél intézi magának",2 óra,-,-,-,-,1
2018.03.12.,2018.04.04.,Inlong Kft.,Kondia B-640,főorsó (6 000 rpm),Átcsapágyazás,"Összerakva, behúzóerő, ütés megmérve",-,16 óra,-,"Csapágyak:
- 1 pár 7012CTRDULP3
- 1 pár 7014CTRDULP3
O-gyűrűk:
- 1 db 115x2,5
- 1 db 28x2,5
- 2 db 38x2,5",,"Ütés: ~0.01mm
Behúzó erő: 7,4 kN",1
2018.03.01.,2018.03.27.,Duna Precíziós Kft,-,Nikken CNC-230 osztómű,"Pontatlan 
az osztómű, felújítást kértek","Teljes szétszerelés, 
kitisztítás, csapágyak cseréje, 
csapágyak bezsírzása,
feltöltés olajjal","Ügyfél beszerzett mindent,
az alkatrészeket és
öntvényt síkolta",24 óra,-,- (ügyfél intézte) ,-,"órázva, 
~0,01mm van benne",1
2018.03.01.,2018.05.02.,Max-Go,Strigon MC-1250,főorsó (6 000 rpm),"Teljes felújítás, olaj kimosta
 a csapágyakat","Széthúzás,
csapágycsere,
forgótömítéscsere;
2018.04.18. összerakva, már csak a hidraulika tömlő kell
2018.04.23. Szállítható","A labirintok szereléséhez egyedi szerszámot kell gyártani, 
mert nagyon kényes felszerelni őket;
Hidraulika tömlő is kell hozzá, Ricsiéktől bekérve.",40 óra,Akai Gábor,"Forgótömítések:
- M 120X140X15 1 db
- M 130X150X15 2 db
Csapágyak: 
4 x FAG B7020-C-T-P4S-UL","Forgótömítések:
br. 126.153 Ft
Csapágyak:
nettó 341.901 Ft / 4 db","Behúzóerő: nem tudtuk mérni
Ütés:",1
2018.03.01.,2018.04.06.,Tari-Prod,TNL-120,Auto Strong M-1875 hidraulikus meghúzó,"munkahenger
 átereszt","Teljes szétszerelés, O gyűrűk cseréje, összeszerelés",Nem tudjuk próbázni,8 óra,-,"O-gyűrűk:
- 2 db 170x5,5
- 1 db 96x6
- 2 db 85x3,2",-,-,1
2018.03.01.,2018.05.04.,Inconex,MAHO MH700S,szerszámmegfogó,Széthullott,"Új megfogó karmok bekérése, 
szerszámpozícionáló csapok terveztetése
2018.04.26. összerakva, szállítható","Karmok már megvannak, csapokra várunk - Csapó legyártotta: 04.17
!!!: az utángyártott karmokon az induktívnak kialakított csapok más helyen vannak az eredeti csapokhoz képest, így a karmokon ezeknek a csapoknak a helyét módosítani kell",Smici: 10 óra,Akai Gábor,"Új karmok (2 pár)
Csapok (4 db)","2db bal kar: 1116,5EUR 
2db jobb kar: 799,94EUR
+50EUR csomagolási költség
+200EUR szállítási költség",-,1
2018.03.01.,,Kárászy Kft,-,Sauter Revfej (kék),"Irányváltási hiba
Pozícionálási hiba,
Nem ül le, nem rögzít","Szétszerelés, átvizsgálás 
mechanikusan, összeszerelés, járatás",,16 óra,-,-,-,-,1
2018.03.01.,2018.03.29.,Marton CNC,,NCT motor,,Szíjtárcsát le kellett vágni,,,-,Új szíjtárcsa,,,1
2018.03.28.,,Hajdu Autotechnika,,"ZD750 köszörű
 golyósorsó és hajtómű",,"Szétszedve, golyósorsó anyára előttünk vlk ráírta, hogy nem javítható... 
szétszerelés, bevizsgálás","javíthatatlan a hajtómű, kompletten új kell",,Akai Gábor,,,,1
2018.04.26,,Pi Dental ,,szerszámcserélő kar forgató motor,,,2. emeleten van a gép,,,,,,
2018.05.16,,NCT SZÉV,,,"javítás utáni összeszerelés, próba",összeszerelve,,,,,,,
2018.01.xx.,,Váci Szakképzési Centrum,M18045 oktató eszterga,,korszerűsítés,,Taksony csinálja,,,,,,
2018.01.xx.,,NCT SZÉV,,mérőléc mosó,,,SZÉV bővítés után,,,,,,
2018.01.xx.,,NCT SZÉV,,Lenord-Bauer jeladó vizsgáló készülék,,,"Ennek a rajzai készen vannak?
06.29. még nincsenek készen a rajzok
08.17. szeptemberben lesznek csak rajzok, Akai Gabi fogja csinálni",,Akai Gábor,,,,
