Sorszám,Kész,Munkaszám,Beérkezés,Ki hozta be?,Kiszállítás / Elkészülés,Megrendelő,Géptípus,"Gépépítőelem 
megnevezése","Gépépítőelem 
típusa","Gépépítőelem 
sorozatszáma",Hibajelenség,Mechanikus munka,Elektromos munka,Dolgozó(k),Telephelyi munkaóra,"Gépészeti 
 munka", Mechanikus anyagok, Elektromos anyagok," Külsős megbízásos munkák, beszállítók","Tartozékok, megjegyzés",fiz/gar,✓,
TH0377,0,M19004,2023.07.24.,,2023.08.08,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,KAFO-NCT BMC-2015-5AX,Szögfej ,HSD HS 678,61122 / 2019021677,kábel és mechanikus probléma,"kábel csere, kábelvezető csere, tesztelés",,"ÖZ,BA,SP",20 óra,2 óra,"8db M8x110 BKNY csavar,
1db műanyag kábelvezető karima (70067721-00),
kábel (Bánszki)",,,,,,
TH0378,0,M05089,2023.07.25.,,2023.08.10.,BIOTECH GMBH,Kondia B-640,Főorsó,,,csapágyas,"szétszerelés, csapágyazás, összeszerelés, járatás",,BA,8 óra,,"1pár 7010CTRDULP3
2db 7012CTRSULP3",,,,,,
TH0379,0,M05006,2023.07.24.,,2023.07.27.,FIRE CONTROL KFT. (DENDRIT KFT.),TMV-850,Szerszámcserélő kar,,,eldobja a szerszámot,"szétszerelés, kar betétek cseréje, összeszerelés",,Gulyás J.,5 óra,,"2 db TMV-1050 szerszámcserélő kar betétje  BT-s,10-00009898-00",,,,,,
TH0380,0,M23064/M10335,2023.08.04.,,2023.08.17,NCT TAKSONY - BIONIKA MEDILINE KFT.,JSL-26AB,"Motororsók, szervómotorok",,,"átvizsgálása, átütésvizsgálat, csapágyak cseréje, jeladók ellenőrzése, meghúzó mechanika átvizsgálása. Összeszerelés után tartós járatás!","motororsók: szétszerelés, csapágyazás,összszerelés, járatás

motor: 2db jeladók cseréje, járatás","motororsók és szervómotorok kimérés, átütésvizsgálata, járatása","SP, KI, GE","24 (mech)
3 óra (elek)",,"4+4db FAG B7013-E-T-P4S-UL, 
2db EQN1337 jeladó",,,,,,
TH0381,0,M22153,2023.08.04.,,2023.10.XX.,"NCT Taksony
JE-ZO KFT.",EEN-500,Revfej,Baruffaldi TA-210/4PS,2282,"Karbantartás: szerszám befogók helyének köszörülése, vízátvezető rugók cseréje stb., bekötés-járatás
Árajánlatot küldeni ! (részletek: viber hiba csoport)","szétszerelés, alkatrészek átzsírozása, összeszerelés, járatás",,"SP, KI, TV",8+8+8,,"BET? (Baruffaldi SZÉV2023-242) 
10 db Nyomórugó / 1,0 x 5,2 x 48 (26),10-10524826-00",,,,,,
TH0382,0,M19065,2023.08.11,,2023.08.21,CHRISTEYNS ENGINEERING KFT.,SD-32,Revfej,Pragati BTP-50,69389,"Megakad, leültetés hiba","szétszerelés, átvizsgálás, összeszerelés, járatás",,SP,7 óra,,,,,,,,
TH0383,0,M21074,2023.08.15.,,2023.08.16.,MAGYARMET KFT.,SV-1000,Karforgató motor,Jenjey F22,,törött fék,"szétszerelés, fékcsere, összeszerelés",,SP,4 óra,,"1db 10-00033813-00
1db 10-00033814-00",,,,,,
TH0384,0,M09196,2023.08.22.,,2023.09.05,KOKILLA PREC KFT.,EmL-850,Szerszámoldó munkahenger,Hao Cheng,,tömítés átenged,"szétszerelés, tömítések cseréje, összeszerelés, próba",,BA,8 óra,,"SNI39 40 x 50 x 06/7 (TTI/L) (4016930090),10-39405006-00
2 db KN/SN25 14 x 22 x 05/06 AU92 (TTU) (4016930090),10-25142205-10
O 60 x 3 NBR70 (4016930090),10-00060370-00
2 db O 40 x 3 NBR70 (4016930090),10-00403070-00
O 14 x 2,5 NBR70 (4016930090),10-00142570-00
O 94 x 3 NBR70 (4016930090),10-00094300-00
O 96 x 2 NBR70 (4016930090),10-00096270-00
O 90 x 5,5 NBR70 (4016930090),10-00905570-00",,,,,,
TH0385,0,M15099,2023.08.28.,,2023.09.07.,TOP HOLDING ZRT.,EmL-1020B,Főorsó,Royal 10.000 RPM,220128,"Rugóköteg javítása. A főorsó kúpos szerszámbefogó része nem rögzíti szorosan a befogott szerszámokat, tengelyirányban kézzel mozgatható, kotyog, valamint a tengely mentén forgatható is ezáltal!","Szétszerelés, takarítás, csapágyak és tömítések cseréje, összeszerelés, járatás",,"BA,SP",16 óra,,"1db 870-5GT szíj
56db 40x20.5x2,45 tányérrugó
2pár 10-00002389-00 Csapágy / NSK 7014 CTRDULP3 precíziós orsócsapágy 
O 140 x 3 4 db
32 x 3,5 2 db
22 x 2,5
4 x 1,8 6 db",,,,,,
TH0386,0,M10281,2023.05.12.,,2023.05.25.,BOGNÁR ÉS TÁRSA KFT.,TNL-100AL,Munkadarab kihordó egység,,,Egy munkadarab kihordó szalag cserét kértek.,"szétszerelés, munkadarab kihordó szalag csere, motor hajtómű tengely cseréje, csapágyak cseréje, összeszerelés",,BA,5 óra,,"Tartalék / TNL-100AII / Szíj munkadarab elkapóra (1350mm),10-00009141-00 
10-00002551-00,Csapágy / 6202 ZZ - 4 db 
motor hajtómű tengely (szerelt + esztergált)",,,,,,
TH0387,0,M18106,2023.08.29.,,2023.09.05.,KÓCZIÁN RÓBERT EV.,MM-850SV,Főmotor,AiS-100,CC2-10-4025,"túlmelegedett, cicergő, nyekergő hangot ad","Taksonyból kaptunk egy  cseremotort (CC2-10-5148), arra kell átszerelni a kapocsdobozt, kuplungfelet, klíma csatlakozókat 
szétszerelés, csapágycsere, összeszerelés, járatás",N/A,SP,8 óra,N/A,2 db 10-10012238-00 SKF S7208 CDGA/HCP4A precíziós golyóscsapágy,N/A,N/A,"Kóczián Úrnak szüksége lenne majd a kicserélt alkatrészekre, illetve fényképekre. Be kell majd mutatnia a biztosítónak. SZÉV raktárba betéve a felújított motor cikkszám alapján.",,,
TH0388,0,"M23111
M14166",2023.08.31.,,2024.03.21.,"NCT (DIGÉP) 
BRUNNBAUER BUDAPEST SZERELVÉNYGYÁRTÓ KFT.",HG-400-II 3.02,Komplett gép,,,,"Keret átalakítása 304-es vezérlőhöz
Sűrített levegő szivárgások megszüntetése
Gyors palettacsere beállítása
Munkatér ls palettacserélp térelválasztó ajtó nem záródik rendesen
Palettacserélő ajtóreteszelő lemez elhajlott 
Főkapcsoló törött csere",,"BA,SP,TV,KT,KR",?,,"2 db GY R3 közép spec 45 x 34,5 x 6 NBR85 (39269097),10-34534568-00 
GY R3 közép spec 42 x 34,5 x 3,5 NBR85 (39269097),10-34234535-00 
Tömlő / TOY-1038, YK-10, 2SC-10HYP, 0°-os elforgatási szög, 2170 mm,10-10382170-00 
4 db Csapágy / LBCD 25-2LS-S SKF lineáris termék,10-25200000-00
4 db Csapágy / Lineáris csapágy LME-25-UU DTE (d=25mm D=40mm L=58mm),10-00254058-00 
10 db O 12,50 x 2,5 NBR70 (4016930090),10-12502570-00 
10 db O 12 x 4,5 NBR70 (4016930090),10-00124570-00 
4 db O 36 x 2 NBR70 (4016930090),10-00362070-00 
2 db O 34 x 3,5 NBR70 (4016930090),10-00343570-00 
4 db GY R01-C 17 x 25 x 5 NBR (39269097),10-00117255-00 
2 db GY R01-C 30 x 39 x 5,8 NBR (39269097),10-01303958-00 
GY S6 14 x 18 x 3 NBR (39269097),10-00614183-00",,,,,,
TH0389,0,M20072,2023.xx.xx,,2025.09.08.,ESZTERGOMI SZERSZÁMGÉPGYÁR KFT.,MZP-1,Főmotor,HPB VM132X-54-40-15-45,21051201H1,"kopott tengely javítása, felhegesztése, forgácsolása
Babett: ha javítható, adjunk nekik ÁA-t, ha az elfogadható, akkor megcsináltatják tartalék motornak
AA: Átcsapágyazás, Reteszpálya szemközti oldalra átmarása, Motortengely felszórása és köszörülése, Előzetes mérés alapján villamosan nincs baja
Elsőre azt mondom (ha valóban csak mechanikus a meghibásodás), hogy ez a Strigon sara.","Kopott tengely javítása SPINEX. Szétszerelés, csapágyazás, összeszerelés, járatás, tesztelés.",N/A,SP;BA,8;8,N/A,"SKF 6309 2Z csapágy 
NTN 6312ZZC3/5K csapágy; motor és jeledő közötti tengelykapcsoló cikkszám, jelölés nincs rajta,  hossz 23,38 mm; külső átmérő 22 mm; belső átmérő 1 8mm; belső átmérő 2: 10 mm",Tamagawa 1024 TTL jeladó,Spinex KIT2023_06046/SZR2023_02906 - BET2023/03969,,,,
TH0390,0,M18004,2023.09.01.,,2023.10.24.,FORNAX 2002 KFT.,VD-510S,Főorsó,Royal 20.000 RPM,350749,felület hiba,"szétszerelés, átvizsgálás, csapágycsere, összeszerelés, járatás, behúzóerő mérés, ellenőrzés",,"SP,BA",12 óra,,,,,ügyfél kapott csere orsót sn: 299167,,,
TH0391,0,M08130,2023.09.04.,,2023.10.05.,MAGYARMET KFT. ,EML-510,Főorsó,Royal 8.000 RPM,119268,üt a főorsó,"szétszerelés, tömítések cseréje, csapágycsere, szíj csere, Deublin csere, hidraulika tömlő csere, összeszerelés",,"BA, SP",16 óra,,"1 db 700-5GT-30 szíj 
4 db 7012CTRLSULP3 csapágy
L12 x 520 hidraulika tömlő
Deublin 902-120-188 
2 db O 114 x 3
5 db O 3 x 2
2 db O 24 x 2,5
2 db O 28 x 3",,Juhász - főorsó labirintgyűrű,,,,
TH0392,0,M15124,2023.09.xx,,,HESSED REHOBOTH (HEAVENLY TRADE),,nagynyomású sziavattyú villanymotorja,,,"csapágyas, villamosan jó",átcsapágyazás,,BA,6 óra,,"1 db 6204
1 db 6205 csapágy",,,,,,
TH0393,0,M21134,2023.09.11.,,2023.09.11.,LOVÁSZ LÁSZLÓ IMRE EV,MINIturn-320/500 ,Revfej,,,,,,,,,,,,visszaküldve Taksonyba,,,
TH0394,0,M08020,2023.09.14.,,2023.09.14.,GRIF-TOOLS KFT.,EmL-610,Főorsó,Royal 8.000 RPM,143366,"szerszámot elengedi, eldobja, behúzóerő 0 kN, csipesz ép","főorsó csipeszt kellett betekerni
Behúzó erő:
Kilökés:
Radiális ütés tőben:
Radiális ütés xx mm hosszon:
Axiális ütés:",,BA,"0,5 óra",,,,,,,,
TH0395,0,M20083,2023.09.14,,2023.09.19.,ROYAL PRODUCTION,EmL-1020E,Főorsó,Royal 10.000 RPM,416800,"köszörülni nem kell, a kúp , a csipesz, a rugóköteg tökéletes, csak csapágyazni kell",Csapágyazás,,SP,1 óra,,,,,,,,
TH0396,0,M20005,2023.09.1x,,2023.09.28.,GYŐRFI JÓZSEF EV,EmL-510,Szerszámoldó munkahenger,,,szerszámoldás hiba,"szétszerelés, tisztítás, tömítések cseréje, összeszerelés",,BA,12 óra,, ,,,,,,
TH0397,0,-,RAKTÁRI TÉTEL,,2023.09.19.,SZÉV tartalék,EmL-1020,Főorsó,Royal 10.000 RPM,226269,"a Royal Prodctionnek adjuk oda csereorsóként, ellenőrzés","szétszerelés, BT-s menesztő dió cseréje ISO-sra, behúzó erő ellenőrzése - gyenge, 4 kN -> rugóköteg előfeszítése: 6,8 kN, csapágyazás, összeszerelés",,BA;SP,4 óra,,4 db 70BNR10STSUELP3-NSK Ferdehatásvonalú precizíós golyós csapágy,,,,,,
TH0398,0,M17237,2023.09.20.,,2023.09.22.,GIA FORM KFT.,MM-850SV,Körasztal,,,kábelkorbácsának a burkolata sérült ,Anakonda csere,,GE,3 óra,,PG21 anakonda 2 m *2 + PG21 tömszelence 2 db,,,,,,
TH0399,0,M12004,2023.09.25.,,2023.10.02.,GOODWILL-TRADE KFT.,EML-1020D,Főorsó,Royal 10.000 RPM,160499,"erőfokozó csere, a levegő ugyanúgy visszadolgozik az olajtérbe, főorsó hidraulika cső leválasztás, a főorsón lévő munkahengernél tud visszajutni az erőfokozóba","munkahenger tömítések cseréje, nyomáspróba, behúzóerőn állítani kellet, mert gyenge volt, most 7,5 kN",,Budai A.,10 óra,,"X 100,97 x 5,33 NBR70 X-gyűrű (4016930090),10-10097533-00
X 81,92 x 5,33 NBR70 X-gyűrű (4016930090),10-81925337-00
O 80 x 3 NBR70 (4016930090),10-00080370-00 
O 118 x 3 NBR70 (4016930090),10-11826570-10
GY K17 125 x 115 x 11 NBR (39269097),10-12511511-00",,,,,,
TH0400,0,M12004,2023.09.25.,,2023.10.02.,GOODWILL-TRADE KFT.,EML-1020D,Erőfokozó,Hinaka BPF-10U11M110FA,12013014,"levegősödik, visszadolgozik, tömítések cseréje szükséges","tömítések cseréje, nyomáspróba",,Budai A.,6 óra,,"2 db O 45 x 3 NBR90 (4016930090),10-00045390-00 
3 db O 15 x 2,5 NBR90 (4016930090),10-00152590-00 
2 db Tömítés / O-gyűrű 94x3,0 NBR 70 (4016930090),10-00094370-00
P 100 x 85 x 6 K62 kéthatású pneu.töm. (4016930090),10-10085662-00
3 db SNI39 30 x 40 x 06/07 AU92 D3 (4016930090),10-39304006-10",,,,,,
TH0401,1,-,2023.09.27.,,,ESZTERGOMI SZERSZÁMGÉPGYÁR KFT.,-,Főmotor,Baumüller DSG-100S,20207848,Csapágy csere és EBI1135 jeladó csere szükséges,,,,,,,,,,,,
TH0402,0,,2023.10.02.,,2023.11.28.,"NCT Taksony
Gáspár",,Revfej,TAN-160 revolverfej,,forgatás közben elakad,"szétszerelés, gyengék a rugók -> rugócsere, összeszerelés, járatás",,SP,4 óra,,,,,,,,
TH0403,0,M12005,2023.10.05.,,2023.10.17.,KOKILLA PREC KFT.,EmL-1020D,Erőfokozó,Hao Cheng,,ereszti az olajat,"szétszerelés, tömítéscsere, tartály készítés, összeszerelés",,"SP,BA",10 óra,,"O 88 x 5,5 NBR75 (4016930090),10-00885575-00 
Tömítés / O-gyűrű 94x3,0 NBR 70 (4016930090),10-00094370-00 
O 96 x 2 NBR70 (4016930090),10-00096270-00 
2 db O 40 x 3 NBR70 (4016930090),10-00403070-00 
O 14 x 2,5 NBR70 (4016930090),10-00142570-00 
O 60 x 3 NBR70 (4016930090),10-00060370-00 
10 db O 40 x 2 NBR70 (4016930090),10-00040270-00 
KN/SN25 40 x 50 x 06/07 AU92 (TTU) (4016930090),10-40500692-00 
KN/SN25 14 x 22 x 05/06 AU92 (TTU) (4016930090),10-25142205-10 
KN/SN21 14 x 22 x 05/06 NBR90 MA21 (4016930090),10-21142206-00 
AD48 14 x 22 x 04,5/06 AU92 DH (4016930090),10-48142204-00",,,,,,
TH0404,0,M19050,2023.10.10.,,2023.11.14.,CSABA METÁL ZRT. ,EmB-1305G,Főorsó,Royal 6.000 RPM,318084,"az Ügyfél forgóátvezetőt szerelt fel helytelenül, mert be volt feszítve a kivezető rész közcsavarja, ami elfeszítette a forgóátvezetőt, nem megfelelő menetű könyökkel szerelték meg, a hajtóműház feltelt hűtővízzel","szétszerelés, tömítéscsere,csapágycsere, összeszerelés, járatás",,"BA,SP",16 óra,,"1 db FAG 6016 L062 0200 csapágy       
5 db FAG 7020-C-T-P4S-UL csapágy 
Tömítések: 
6 db 8 x 2 
5 db 180 x 3 
4 db 35 x 2,5 
3 db 45 x 3",,,,,,
TH0405,2,M21097,2023.10.10.,,,KÖRBER HUNGÁRIA KFT.,WOTAN R12,Főmotor,VM132L-54-40-15-06,,leégett,,csatlakozó átszerelése a cseremotorra,Ginter E.,1 óra,,,,,cseremotort kapott sn: 21070910G,,,
TH0406,2,M04205,2023.10.10.,,,GYURÓ TECHNIK KFT.,TNL-100AL2,Szerszámbemérő kar,,,"karbantartását, és pontatlanságának (bemérésnél 0,1-0,2mm eltérés lehet két bemérés között) megoldását szeretném megrendelni. ",,,,,,"Csapágy / 32007 X_S SKF egysorú kúpgörgős csapágy,10-00032007-00
Csapágy / 32006 X_S SKF egysorú kúpgörgős csapágy,10-00032006-00
S 50 x 62 x 07 RST NBR70 (8484109000),10-50620770-00",,,ügyfél cseredarabot kapott,,,
TH0407,0,M08130,2023.10.10.,,2023.10.27.,MAGYARMET KFT. ,EML-510,Főorsó,Royal 8.000 RPM,119268,üt a főorsó,"szétszerelés, csapágycsere, összeszerelés, járatás",,"BA, SP",8 óra,,4 db 7012CTRLSULP3 csapágy,,Spinex SZR2023/02613 - BET2023/03725,,,,
TH0408,0,M22124,2023.09.xx,,2023.08.08.,SZABÓ FOGASKERÉKGYÁRTÓ KFT.,ZFTK-250,Főmotor állórész,VM100S,22011222F,takarítás,"Takarítás rendben, motor tekercselés ellenőrizve szintén rendben. Infó: Toma Gergővel egyeztetve a motor többi része Taksonyba van. Várják vissza összeszerelésre.",N/A,BA;KI;,2+1,N/A,N/A,N/A,N/A,N/A,,,
TH0409,0,,2023.08.15.,,,GE H. VERESEGYHÁZ,,Siemens motor,1FT6034-4AK71-3EA0,YF P319 8563.03 001 ,Egyik tekercs szakadt,"szét kell szedni, áttekercselni, csapágycsere stb. - ÁA kell az ügyfélnek ",,,,,,,,WFID 12048608945 - WO 1344719 - J08679-ra átvezetve,,,
TH0410,0,,2023.08.16.,,,GE H. VERESEGYHÁZ,,Siemens motor,1FT6034-4AK71-3EA0,YF N415 6888.01.001 ,Csapágynak 'száraz' hangja van,csapágycsere - ÁA kell az ügyfélnek  ,,,,,"2 db Csapágy / 6001 2RSH,10-00002531-00",,,WFID  12050946647 - WO 1344661 - J08680-ra átvezetve,,,
TH0411,0,M17066,2023.10.18.,,2023.12.02.,DENDRIT MENTOR,KFO-620,Munkahenger,LB40*665 18,3183060310,átereszt,"Szétszerlés,méretezés,összeszerelés új tömítésekkel.",N /A,BA,6 óra,N/A,"2 db O 36 x 2 NBR70 (4016930090),10-00362070-00 
2 db P K53 20 x 28 x 6,2/7,8 PU (3917400000),10-53202862-00 
S 25 x 52 X 10 RST NBR70 GRN (4010210000),10-25521070-00 
AD51 16 x 24 x 06 NBR90 (4016930090),10-51162406-00 
KPOR30 40 x 32,5 x 03,2 PTFE K30 (4016930090),10-30403250-00",N/A,N/A,"Ügyfél vett másik munkahengert, a javított bekerült SZÉV raktárba.",,,
TH0412,0,M21092,2023.10.26.,,2023.11.06.,JÁRMŰ ZRT.,CME FS-2,Főmotor,HPB VM132L-54-40-15-06,21031904D,motor csapágyas + hajtómű kihajtásnál is csapágyas + ventilátor hangosan indul,"szétszerelés, motor átcsapágyazása",,BA,8 óra,,"SKF 6309 2Z C3 csapágy
NSK 6309 ZZ CM csapágy
FAG 16015 C3 csapágy",,,,,,
TH0413,0,M13049,2023.10.31.,,2023.12.20.,MST ENGINEERING KFT.,VMC-1600,Főmotor,AiS 132-LW 08-15,2013-060,"zajos, szíjtárcsa kopott, javasolt nagyobb profilú szíjtárcsa","Szétszerelés,kiküldés Csapó úrhoz csapágyazásra. Összeszerelés, új nagyobb tárcsa felszerelése,  O 100 mm; 40 fog; járatás, kiegeyensúlyozás.+ telepítéshez 960 8YU szíj",N /A,BA;SP,2+2,N /A,"960 8YU szíj
 Szíjtárcsa  
2db csapágy típus ?",N/A,Csapó csapágyazás,N/A,,,
TH0414,0,M13049,2023.10.31.,,2023.12.20.,MST ENGINEERING KFT.,VMC-1600,Főorsó,"Royal-Smax 10.000 RPM, SN 164569",164569,"főorsó kúp üt, 920 hosszú szíjat állandóan eltépi, javasolt nagyobb profilú szíjtárcsa, forgóátvezető átenged","Takarítás, szétszerelés; csapágyazás, összeszerelés, járatás, behúzóerő mérés, ütés mérés.",N /A,BA;SP,4+4,N /A,"4db NSK 7014CTRDULP3
56 db ténynérrugó 40x20,5x2,5mm; 
1db Deublin 902-1230-188;
1db új nagyobb átmérővel rendelkező szíjtárcsa O 100mm, 40 fog;                                                             Behúzó erő 7,8 kN; Ütés tüske vége 0,02 mm; tüske töve 0,01 mm; járatás 3000 rpm; környezeti hőmérséklet 10 C, melegedés nem volt tapasztalható ilyen körülmények között.   ",N/A,Spinex SZR2023/02875 - BET2023/03971,Régi csapágy: FAG HS7014-C-T-P4S-UL,,,
TH0415,0,M05089,2023.10.30.,,2023.11.30.,BIOTECH GMBH,Kondia B-640,Főorsó szerszámoldó egység,,,nagy a kilökés (4 mm),"szétszerelés, munkahenger dugattyú köszörültetés, tömítések cseréje, összeszerelés",,"BA,SP",10 óra,,"O 192 x 3,5 NBR70 (4016930090),10-01923570-00 
O 179,20 x 5,7 NBR70 (4016930090),10-17920577-00 
O 64 x 2,5 NBR70 (4016930090),10-00642570-00 
O 54 x 3 NBR70 (4016930090),10-00054370-00 
GY A2 64,5 x 75 x 7/10 Pu (39269097),10-64575710-00 
GY A2 54 x 65 x 7/10 Pu (39269097),10-05465710-00 ",,Juhász SZR2023_02893,,,,
TH0416,0,M11154,2023.11.06.,,2023.11.24.,MAGYARMET KFT.,EMR-1020D,Főorsó,Royal 15.000 RPM,147261,üt a főorsó 5 századot,"szétszerelés, csapágycsere, összeszerelés, járatás",,"BA, SP",12 óra,,"4 db SKF 7014 CEGATNH/HVC 0253 csapágy 
6 db Ringfeder 40x45",,Spinex SZR2023_02857 - BET2023/03970,,,,
TH0417,0,M21174,2023.11.02.,,2023.11.21.,FT CNC PRODUKT KFT.,SFM-760,Tárforgató motor,"Rotom 5RK60GN-CPTs (60W, 220V, 0,59A)",OV26C240005,megszorult,"szétszerelés, csapágyak cseréje, tömítés cseréje, összeszerelés",,BA,5 óra,,"Csapágy / 6000 ZZ csapágy SKF,10-00002654-00 
Csapágy / 6200 ZZ csapágy SKF,10-00002655-00 
S 10 x 26 x 0,5 RST NBR70 (8484109000),10-10260570-00",,,,,,
TH0418,0,M19026,2023.11.09.,,2023.11.30.,REKARD HAJTÓMŰ ÉS GÉPGYÁRTÓ KFT.,EPA-320,Meghúzó,Berg ESP 130 FA,70515,"a motor tekercseinek ellenállása nem azonos, testzárlatos a motor 
az NCT Gép adott egy 120-ast, a kettőből kellene egyet csinálni","Szétszerelés, átjáratás, zsírzás, erőhatároló csavar megszorulva.. Összerakás után járatás, egyeztetve Kozmanovics Andrással, rendben.Kölcsönkapott motort Smiciék visszaviszik a héten.",N/A,BA;SP,8+8,N/A,N/A,N/A,N/A,N/A,,,
TH0419,0,M21010,2023.11.xx,,2023.12.18.,INTERMETALL KFT.,EML-610-4X,Körasztal + szögmérő,Motor BLS-073 Mavilor,?,"felhozza a körasztalt amin a szögmérő van. A szögmérőt szükséges lenne tisztítani illetve a kábelét ellenőrizni
Szögmérő csere; minimál esztétikai takarítás",Takarítás,Szörmérő csere,SP; GE;,1+2,N/A,N/A,HDH szögmérő ID:533110-02 cikkszám:21-53311002-00,N/A,Motor: MAVILOR BLS-073,,,
TH0420,0,M21134,2023.11.15.,,2023.11.24.,LOVÁSZ LÁSZLÓ IMRE EV,MINIturn-320/500,Revfej,WD6-100 (0625),0519-88351985 88362511,"Az a stift törhetett el, ami pozíciónkent megakad, hogy a visszaforgatásnál leültessen. Ha kézzel megtartottam, leültetett. Az új fej nem tudom honnan lett, de hiányos volt az eleje és zörög is 
+ 2 db Ai5 hengeres retesznélküli motor (sn. D03-10-9650 + sn D03-10-9649) is cserélve","Szétszerelés, tisztítás, beállítás, zsírzás, összeszerelés. Elég sok rézpor volt a Hirth fogazásnál. Járatás után visszakerült.",N/A,BA;SP,8+8,N/A,N/A,N/A,N/A,N/A,,,
TH0421,0,N/A,2023.11.29.,,2023.12.05.,TARTALÉK,N/A,REVFEJ,WD6.8-100(0621),247,"Viktor hozta be, előtte ügyfélnek volt felrakva, tartalékból adtuk ki. Viktor zajosnak találta.","Szétszerelés, tisztítás, zsírzás, csapágy ellenőrzés, hézag beállítás, összeszerelés. ",N/A,BA;SP,2;2,N/A,N/A,N/A,N/A,N/A,,,
TH0422,1,N/A,?,,,TERVEZÉS,N/A,FŐMOTOR,AiB70-54-20EH/M,F0A-10-7392,Tervezés visszarajzolás miatt kérte a szerelést. Fék oldési probléma + csapágyazás szükséges.,"Szétszerelés,csapágyazás, fék beállítás, összeszerelésre várunk nem SOS",N/A,BA;SP,3+3,Dokumentálás,"1db mélyhornyú g. csapágy NTN 6207T2XLLBC3P5/L448QTL
1db mélyhornyú g.csapágy NSK 6208 2Z C3",N/A,N/A,N/A,,,
TH0423,0,N/A,?,,,TARTALÉK,N/A,SERVO MOTOR,Ai08-54-30-EH/E,04-10-8532,Hibafeltárás és javítás,"Szétszerelés,tisztítás, csapágyazás,összeszerelés és új címke, tesztelés",N/A,SP,4 óra,N/A,"1 db  6205ZZ C3 csapágy, 1 db  6204ZZ C3 csapágy, 1 db 52x25x10 szimering, 10-25521070-00",N/A,N/A,BELSŐ JAVÍTÁSI LAP IS KÉSZÜLT J08598,,,
TH0424,0,M15173,2023.12.04.,,2023.12.05.,VÁRDA VULKÁN KFT. ,EmB-1605G,Tartományváltó munkahenger,HINAKA DAL-50N70-006 (SCBS VH160H-037A) ,,"menetközben ereszt, a szelep az működik","szétszerelés, tömítések cseréje, csatlakozó csere, szelep csere, összeszerelés",,BA;SP,5 óra,,"2 db P K53 25 x 33 x 6,2/7,8 NBR (3917400000),10-53253362-00 
2 db KN/SN21 40 x 50 x 06/07 NBR90 MA21 (4016930090),10-21405006-00 
P AUNIPSL E 20 x 30 x 10,4  pneu. rúdtöm. K51 (3917400000),10-20301045-00 
2 db O 46 x 2 NBR70 (4016930090),10-00046270-00 
ötőelem / Üreges csavar, 2 szint RZ420-1/4,10-00042014-00 
Csatlakozó / Szupergyors csatlakozó RP500-8-1/4,10-00500814-00 
Csatlakozó / Gyűrűs csatlakozó, menetes RZ520-1/4,10-00052014-00 
Pneumatika / Fojtó-visszacsapó szelep ASL 8-G02,10-00802802-00",,,,,,
TH0425,0,M14252,2023.12.06.,,2023.12.08.,KOKILLA PREC KFT.,HT-76 DT,Fékező egység,,,"a fékből folyik az olaj, tömítések ellenőrzése szüksége","szétszerelés, tömítések cseréje, összeszerelés, funkciópróba",,BA;PI,4 óra,,"10-15187000-00 O 15 x 1,8 NBR70 (4016930090) 
10-00172570-00 O 17 x 2,65 NBR70 (4016930090) 
2 db 10-00108523-00 Gumi / O-gyűrű 73x3,55 NBR 70",,,,,,
TH0426,0,19959,2023.12.06.,,2024.07.16.,TRIMBLE HUNGARY KFT.,TNL-130A-DT,Revfej + tárcsa + motor,TBMA,"K26.A200.2101A21.01
5378/2007
230",a revfejben a hajtott szerszám közlőkerék szorult meg,"Takarítás, szétszerelés,alkatrészek beazonosítása",,BA;SP,2 óra,,"Baruffaldi TBMA-200 revolverfej javítása (TNL-130A),10-00023007-00",,,SZÉV2023-343,,,
TH0427,2,M14244,2023.12.07.,,,LITZE KFT.,EmR-1020D,Főmotor,AiS 100-LW 26 H (D),CC2-10-126,"tönkre ment a forgóátvezető és vitte magával a motort is.Kérném vizsgálatát és javítását. A főmotor nagyon zajos és a hajtás is hibákat dobál.Mellékelve a hiba fotója. Orsó kikapcsolási hiba, orsóhajtás üzemkészség hiba, S hajtás túláram hiba ","Régi motor takarítása előkészítése a szerelésre. A motor csapágyas és tekercszárlatos felújítás szükséges. Ügyfél részére a raktrából csere motor lett kiadva 1db Ais 100-LW15H (Y) TTL 256. Erre lettek átszerelve a régi  moror alkatrészei kivéve Deublin mert ügyfél nem kérte csak sűrített levegő bevezetést a kúp tisztításhoz. A jelnlegi Deublin nem alkalmas a 70 bar-os rendszerhez. A megfelelő forgóátvezető DEUBLIN 1109-023-212. WDS szenzor aTH-n került kiépítésre. A motor járatása, kiegyensúlyozása megtörtént.",N/A,BA+SP,2+2,N/A,"
1 db Ais 100-LW15H (Y) motor
1db Deublin rendelés alatt 1109-023-212 SZÉV2023-333",1 db WDS készlet,N/A,Megbeszéltek szerint a régi motor megy a logisztikára felújításra és utána tartalék lesz. Ha felkerült a logisztikiára a státsz mehet 0-ra.,,,
