SZÉV igény szám,Státusz,Felelős,Igény dátuma,"KÓDOK: 
ÁA (csak árajánlat kérés)
R (rendelés)
PÜ (utalásra vár)
GY (gyártás alatt)
U (úton van)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,IMP megjegyzés,GYE megjegyzés,SZÉV megjegyzés
SZÉV2024-323,FALSE,GYE,09.19.,,0,,,M14247,PRECIZ-N KFT. + SZÉV tartalék,MM-1000 + MM-800,Microcut Buffalo,főorsó végén lévő alkatrészek,,2 klt,LR,"gyártó jóváírja, nem tudja szállítani, meg kell nézni le tudjuk e gyártatni. ",,
SZÉV2025-001,TRUE,IMP,01.06.,Á  ,,2025.01.30.,BET2025/00287,,,BAOMA DK 7732,Baoma,"BMW-2008-2 panel, BMXP V8.1  panelekhez árajánlat kérés",,1-1db,Zsombori/FÉMÓ,,,
SZÉV2025-002,TRUE,IMP,01.08.,U,,2025.07.07.,BET2025/02220,M14039 (gysz: 09837/09 2000),METARAD CNC KFT.,TONG-TAI TNL-100A,Tongtai,"5-5 db PVF-30-55-11S szivattyú + JIACHENG 90L 1,5 KW 90L villanymotor (1 db Metarad, 4 db SZÉV tartalék)",Csatolt email/fotó,5-5 db,Zsombori Pál,"SZR2025/01554 hajóval érkezik 25024/043 NCT: 07.03-04. Fuvardíj: 1018,70 USD (szla: 909614/25)",,
SZÉV2025-003,TRUE,GYE,01.09.,R,,2025.01.10.,2024/00000029,"TH0558, B7056",Mediagnost,"Kondia B640 , Főorsó","Berkoa, SP","Csapágy, 6202 2Z  1 db
Csapágy, 6201 2Z  1 db
Csapágy, 7010 CTRDULP3  2 db",Csatolva email,1-1-2 db,Smici. Peti/AL,,,
SZÉV2025-004,TRUE,IMP,01.09.,Á  ,,2025.01.14.,,M17158,NORTON 4 kft,TCS-2500LDT(TT0404460),Tongtai,Főorsó és főorsó jeladó mechanika felújítása:csapágyak és szíjak típusai,,,Zsombori/Norton,,,
SZÉV2025-005,TRUE,GYE,01.13.,R,,2025.01.13.,BET2025/00096,,Kokilla,VD-510,,gép tárforgató mechanikájához szükségünk lenne 2 db 30203-as csapágyra.,,2,Zsombori/kokill,,,
SZÉV2025-006,TRUE,ERA,0.13,R,,,,,ALSTOM,Mitsubishi,,Mitsubishi gép x-tengely motorkábel,,1,Zsombori/Alstom,,,
SZÉV2025-007,TRUE,GYE,01.14.,R,,2025.01.15.,"2025/000000065, BET2025/00105",,BAV kft,TCS-2000 száladagoló,TongTai,TongTai,,1,Zsombori/BAV,,,
SZÉV2025-008,TRUE,ERA,01.14.,R,,2025.03.13.,2025/000000379,,Szerviz raktár,,,"Kapcsoló / ELR W3-24DC/500AC-9I irányváltó kapcsoló 9A (2297057),20-00002868-00",Csatolt email,2 db,AL,,,
SZÉV2025-009,TRUE,LOG,01.14.,R,,"2025.02.07.
2026.01.07.","2025/000000200
2026/000000004",,Szerviz raktár,,,"EBI-BAT lithium elem egység EBI 1135 jeladóhoz (elem egység)_új F, 40-00010700-81",Csatolt email,30 db,AL,,,
SZÉV2025-010,TRUE,GYE,01.15.,Á  ,,,,M04094,,FV30,,"Nagyszervíz:  Főorsó csapágycsere, Motorcsapácgy csere,",,,zsombor,,Gépkönyv elérhető a hálózaton.,
SZÉV2025-011,TRUE,GYE,01.15.,Á  ,,,,,,,, ETB 960/4000 gép ajtómegvezető sínhez kocsi 84.040.009 cikkszámúból kell 4 db,,4db,Zsombori/MSK,,Nem kérik.,
SZÉV2025-012,TRUE,IMP,01.16.,R,,2025.01.31.,BET2025/00447,,Szerviz raktár,VD-510,,"E-37TE-001, Tartalék / Habor vezérlőegység / HSP-E-23C-HB403-SN3, 10-00032814-00",Csatolt email/ fotó,3 db,AL,,,
SZÉV2025-013,TRUE,IMP,01.16.,R,,2025.06.10.,BET2025/01867,,Szerviz raktár,Manford gépek,Manford,"1. Kérlek rendelj mind a 7 db géphez az Item no. szerint 1-1 készletet.
VD-510
EL-850
VL-1000
VL-1200
VL-1600
VU-620
MSL-200
2. Kérlek rendelj az MXS P-207.png-ből 2 db-ot",Csatolt email/ fotó,1 klt.,AA,Gépek mellett érkezik,,
SZÉV2025-014,TRUE,GYE,01.16.,Á  ,,,,,MSK,Euromill-3000,,Euromill-3000 berendezés ugyanezen szűrőbetétje.,Csatolt email/ fotó,,,,GYE küldi,
SZÉV2025-015,TRUE,GYE,01.16.,R,,2025.02.03.,,,Szerviz Raktár,,,"Mol zsír  15 doboz
Teflon szalag  20 db
WD40 20 flakon
Szilikon piros 1 karton
Szilikon Fekete 1 karton",Csatolt email,,AL,,,
SZÉV2025-016,TRUE,GYE,01.17.,R,,2024.01.20.,BET2024/00148,,YONIX kft+Tartalék,EmL-800,,7012CTRSULP3,,2+4/ 2 db érkeztt,Pál Ignác,,Tartalék nem lesz,
SZÉV2025-017,TRUE,IMP,01.17.,R,,Nincs kiváltó nem gyártanak hasonlót elavult termék,,M17186,METALCONSTRUCT ZRT.,VD-510S,Suenn Liang gyártó nem tud adni ilyet,"SP-TBSW-10050 trafó 3 db (1 db M17186, 2 db SZÉV tartalék)",Csatolt email/ fotó,3 db,AA,kiváltót keressetek kérlek a termékre! ,,
SZÉV2025-018,TRUE,GYE,01.20.,R,,2025.01.29.,,,Szerviz Raktár,,,"Tányérrugó / S4305 31,5x16,3x2 mm,10-00002545-00",Csatolt email,100 db,AL,,,
SZÉV2025-019,TRUE,IMP,01.20.,R,,2025.05.29.,BET2025/01788,,Szerviz Raktár,,East Lion,"Tartalék / Szerszámtartó zseb EmL-3000 DIN50,10-00009550-00,10 Szerszámgépek tartozékai",Csatolt email/Fotó,3 db,AL,Vámkezelésen van 020-00234511,,
SZÉV2025-020,TRUE,IMP,01.20.,Á  ,,,,,Szerviz Raktár,Hurco TM6 eszterga,,SGDH-10AE Yaskawa Hajtás árajánlat,,1,Zsombori Pál/AA,,,
SZÉV2025-021,TRUE,GYE,01.20.,Á  ,,2025.01.22.,2025/000000101,M07017,C-Mechanik Kft,TNL-100 A2 (gysz: 19561 NCT),,"Gépkönyvünk alapján (TNL85/100) ezt a típusú ékszíjat adja a katalógus:
81123-051650 
Szíjak méretei mérés alapján:
Hossza:1950mm
Szélesség: 38mm (3 borda)
Magasság: 7,5mm
Profil magasság: 5mm

Darabszám 2",Csatolt email,2,Zsombori Pál,,,
SZÉV2025-022,TRUE,GYE,01.20.,Á  ,,20025.02.04.,BET2025/00333,M21259,TECHNOPLAST GROUP KFT. ,EML-1020E,,4 db lineáris vezeték papucs: YJI82240-2,Csatolt email/Fotó,4 db ,Kovács Péter,,,
SZÉV2025-023,TRUE,IMP,01.20.,Á  ,,,,M10279,MOBILINTER KFT.,JSL-26AB (gysz: 26AB-0254),JinnFa,"S3-ra kihajtó bordásszíjat szeretnénk cserélni, képet is csatoltam",Csatolt email/Fotó,1 db,AA,,,
SZÉV2025-024,TRUE,IMP,01.20.,R,,2025.06.13.,BET2025/01941,M23166,MSK HUNGARY BT.,KAFO-NCT RV-3122 5 AXIS (gysz: 746120),KAFO,"A következő tételekre szeretnék ajánlatot kérni
KAFO géphez szükséges 5 mikronos levegőszűrő               3db
KAFO géphez szükséges 0,5 mikronos levegőszűrő           3db
KAFO géphez szükséges Hidraulika olaj szűrő                      4db",Csatolt email,1 klt.,Molnár Szabolcs,"miért nincs még kipipálva?
Nem volt infóm, hogy ezek is 026-031-126-os igényekhez tartozik, de Ignác modta, hogy abban voltak ezek is, így most már le tudom zárni őket",,
SZÉV2025-025,TRUE,IMP,01.20.,R,,2025.06.13.,BET2025/01941,M23167,MSK HUNGARY BT.,KAFO-NCT RV-4122 5 AXIS (gysz: ?),KAFO,"A következő tételekre szeretnék ajánlatot kérni
KAFO géphez szükséges 5 mikronos levegőszűrő               3db
KAFO géphez szükséges 0,5 mikronos levegőszűrő           3db
KAFO géphez szükséges Hidraulika olaj szűrő                      4db",Csatolta email,1 kl.,Molnár Szabolcs,N,,
SZÉV2025-026,TRUE,IMP,01.20.,GY,,2025.06.13.,BET2025/01941,M20017,Csaba-Berény,KAFO-NCT BMC-2616 (gysz:760428),KAFO,"Kérünk árajánlatot és szállítási határidőt a gépen lévő összes víz, olaj és levegőszűrőre.",Csatolt email,1 klt.,AA,05.27 érkezik ATS,,
SZÉV2025-027,TRUE,IMP,01.20.,Á  ,,2025.06.13.,BET2025/01941,M20082,Bognár és Társa Kft.,KAFO-NCT KMC-3122 (gysz: 772113),KAFO,"Kérünk árajánlatot és szállítási határidőt a gépen lévő összes víz, olaj és levegőszűrőre.",Csatolt email,1 klt.,AA,"ÁA itt, ÜFválaszára vár",,
SZÉV2025-028,TRUE,GYE,01.17,R,,2025.01.20.,,M24068 / M11217,AGA-VAS FÉMMEGMUNKÁLÓ ÉS FÉMSZERKEZETGYÁRTÓ KFT.,EmR-1200D,,Deublin 1109-020-188,Csatolt email,1 klt.,Pál Ignác,,tartalék nem lesz,
SZÉV2025-029,TRUE,GYE,01.20.,R,,,,M23170,MSK HUNGARY BT.,EM-1500E 3.gép (gysz: V15-BT202404352),,"1101-202-651 Deublin forgócsatlakozó (KAFO-tól, 1 db)",Csatolt email,1 db,AA,,szévre vár,
SZÉV2025-030,TRUE,IMP,01.20,R,,2025.05.29.,BET2025/01788,M23170,MSK HUNGARY BT.,EM-1500E 3.gép (gysz: V15-BT202404352),,"UNITTA 825-5GT (EAST LION-tól, 5 db)",Csatolt email,5 db,AA,Vámkezelésen van,,
SZÉV2025-031,TRUE,IMP,01.21.,U,,2025.06.13.,BET2025/01941,M23166,MSK HUNGARY BT.,KAFO-NCT RV-3122 5 AXIS (gysz: 746120),KAFO,"Szögfej alkatrészek 
Upper module.pdf, C axis.pdf, A axis.pdf",Csatolt email,1 klt.,AA,05.27 érkezik ATS,,
SZÉV2025-032,TRUE,IMP,01.21,Á  ,,ÜF nem kéri,,M07153,MSK,EM-3000 (gysz: BT2071002),???,"Gyártó: EAST LION
Géptípus: EM-3000
Gyári szám (M szám): BT2071002 (M07153)
Igény: Komplett szűrőfiók, a szűrőlap és az azt tartó acél tálca, lásd a képen.",Csatolt email/Fotó,1 db,AA,East lion helyett más beszállító kell vagy tervezni,GYE esetleg tud segíteni belföldről? ,
SZÉV2025-033,FALSE,ERA,01.21,R,,,,M05090,MICROMARK IPARI ÉS MARKETING KFT.,Chiron FZ-12S,,"Gyártó: CHIRON (ROLATAST BT.-től rendeltünk 2012-ben)
Géptípus: FZ-12S
Gyári szám (M szám): 103-22 (M05090)
Igény: Chiron FZ12 gépunkhoz szeretnénk rendelni 2 db képen szereplő jeladót.",Csatolt email/Fotó,2 db,Zsombori Pál/AA,,,
SZÉV2025-034,TRUE,IMP,01.21,R,,2025.02.06.,BET2025/00416,M18254,MST, TCS-2000L,Baruffaldi,"Gyártó: Baruffaldi
Géptípus: TBHMA 200 16 K56.A020.3141C81.10F
Gyári szám (M szám): 15492/2019 (M18254)
Igény: Komplett tömítés szett",Csatolt email/Fotó,1 klt.,Gulyás József,,,
SZÉV2025-035,FALSE,IMP,01.22.,U,,Raktárról megoldódott,,M17239,MST,HT76,Microcut/Buffalo,HT76 hajtott szerszámos esztergánk szerszám belsőhűtés szivattyú. (SALY VOP-220-F-RV-C),Csatolt email/Fotó,1 db,Kovács Péter,"2026.01.13.-án kifizettük, jöjjön tartaléknak",import!,"Ignác jún. 6., P 10:53 A hibát raktárról elhárítottuk."
SZÉV2025-036,TRUE,IMP,01.22.,ÁA,,,,,SZÉV raktár,Olajhűtők,KAUKAN,NCT FOGARASI ÚT 2025.01.16-17.xlsx szerinti lista +1 db tartalék.,Csatolt email/Fotó,1 klt.,Pál Ignác,"januári téma, ...foglalkozni kell vele",,
SZÉV2025-037,TRUE,IMP,01.23.,Á  ,,,,M10143,FMF FÉM ÉS MŰANYAG FELDOLGOZÓ KFT.,EmB-1104G(VHG1104,,"Gyártó: MANFORD
Géptípus: EmB-1104G(VHG1104)
Gyári szám (M szám): 990511 (M10143)
Igény: Kovács Péter: ""Az FmF nel zorog a csiga hajtas amikor a zsebeket forgatja. Levettuk a motort a motornak nincs baja kulon forogva szep hangja van ! Kellene valamilyen doksi vagy rajz milyen csapagyak alkatreszek vannak benne ! Kuldjunk nekik egy AA tot mennyibe fog kerulni! Ezeket az adat tablakat talaltuk! Tár gyáriszáma: 9907566 6""",Csatolt email/Fotó,1 db,Kovács Péter,,,
SZÉV2025-038,TRUE,IMP,01.23,PÜ,,2025.05.29.,BET2025/01788,M23170,MSK HUNGARY BT.,EM-1500E 3.gép,East Lion,"Gyártó: EAST LION
Géptípus: EM-1500
Gyári szám (M szám): V15-BT202404352 (M23170)
Igény: 5 db szerszámtár zseb.",Csatolt email,5 db,AA,Vámkezelésen van 020-00234511,,
SZÉV2025-039,TRUE,IMP,01.23,U,,2025.06.02.,BET2025/01853,M15303,MVM NUKA ZRT.,HBM-4,Buffalo / Microcut / AxILE,"Gyártó: MICROCUT
Géptípus: HBM-4
Gyári szám (M szám): ????? (M15303)
Igény: 1 db csillapító AD2540 HBM-4 horizont szerszámcserélőhöz",Csatolt email/Fotó,1 db,Gulyás József,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=166935094,,
SZÉV2025-040,TRUE,IMP,01.24,R,,2025.08.18.,BET2025/02659,M20017,Csaba-Berény,BMC 2616,KAFO,Ajtó görgő,,2,Zsombori Pál,,import!,
SZÉV2025-041,TRUE,IMP,01.27.,R,,,,,,"RV-3122, RV-4122",KAFO,MSK KAFO lista (kirészletezni),Egyenlőre nincs rá szükség,,,,,
SZÉV2025-042,TRUE,IMP,127,Á  ,,,,M20018,Csaba-Berényi,HBM-4,,Z golyorsó csapágykészlet,,1,Zsombori Pál,,,
SZÉV2025-043,TRUE,GYE,01.28.,R,,,,M12004,Goodwill-Trade Kft.,EML-1020D,,ROYAL 160499 10000rpm-be: 4 db Csapágy / FAG HS7014-C-T-P4S-UL precíziós orsó csapágy,Csatolt email/Fotó,4 db,Gulyás József,,"Megérkezett, Józsi bácsi magánál tartja",
SZÉV2025-044,TRUE,GYE,01.30,PÜ,,,,M15303,PAKS NUKA,HBN-4,,10-00033593-00 HBM-4 / gázrugós ütköző (AD2540),,1,Zsombori/Sziver Zsolt,,,
SZÉV2025-045,TRUE,IMP,01.28.,R,,2025.02.11.,,M20082,Bognár és Társa Kft.,KAFO-NCT KMC-3122 (gysz: 772113),,"HBO-750PTSBM3-554_A1AC33P50MC20001 - Habor oil cooler
400V
Cooling capacity: 2900/3500 W (50/60 Hz)
Supply voltage: 3x 400 V (50/60Hz)
Pump: 25/30 l/min (50/60Hz) with bypass 12-25 l/min
Refrigerant: R410A (g): 850
CO² (T/Unit): 1,7748
Tank capacity: 50l
Temperature contol: Differential according machine body temp
(+-1°K)
with bypass for tank option",Csatolt email,1 klt.,AA,,,
SZÉV2025-046,TRUE,GYE,01.31,Á  ,,,,M16113,CSABA-TOOL,BNC-1640 161102253,,"Gyártó: MICROCUT
Géptípus: BNC-1640
Gyári szám (M szám): 161102253 (M16113)
Igény: Árat és szállítási határidőt kérünk főorsó csapágykészletre.",,1KLT,ZSP,,SZÉVre vár,
SZÉV2025-047,TRUE,IMP,01.31.,Á  ,,2025.04.07.,,M17065,SMR Automative Mirror Technology Hungary Bt. ,RICHYOUNG RIC-BS350A,,"Gyártó: PRO RICHYOUNG INDUSTRIAL CO., LTD., RICHYOUNG MACHINE TOOL CO, LTD.
Géptípus: RICHYOUNG RIC-BS350A
Gyári szám (M szám): C0117070143 (M17065)
Igény: 1 db ""elektromos vezérlődoboz""",Csatolt email/Fotó,1 db,AA,,,
SZÉV2025-048,TRUE,IMP,02.02,PÜ,,2025.08.29.,BET2025/02785,,SZÉV raktár,,Manford,"A Manfordtól meg kellene kérdezni, hogy tud-e még adni komplett vízleválasztó egységet a MAFR300L 10A és MAL300L 10A típusokhoz. 10-10 klt.-re kérünk árat.",Csatolt email/Fotó,10 klt. 5 db érkezett,ZSP,"Proforma itt, utalásra vár 2101-2506030 ",,
SZÉV2025-049,TRUE,IMP,01.16.,R,,2025.03.28.,BET2025/01075,M13116,Precision KFT,SC-32,,"Kérlek rendeld meg az 1.Pulley M3200101 (delivery: 1 week
(gysz: 13013, msz: M13116)",email,1 kit,AA,,,
SZÉV2025-050,TRUE,GYE,02.03,R,,2025.02.04.,2025/000000172,,Szerviz Raktár,,,"Csapágy / 30TAC62CSUHPN7C ferdehatásvonalú golyóscsapágy NSK, 10-10001875-00",Csatolt email,12 db,AL,,,
SZÉV2025-051,TRUE,ERA,2025.02.04.,R,,2025.02.05.,2025/000000184,,Szerviz Raktár,,,"Kapcsoló / Balluff BNS 819-B02-L12-61-12-10 kapcsoló (2 kapcsolós; közepes talpas), 20-00002611-00",Csatolt email,5 db,AL,,,
SZÉV2025-052,TRUE,GYE,02.05,R,,2025.02.12.,,,Fejes Attila,,,"Keretes vízmérték, 250 mm hosszú, 0,2 mm/m osztású",Csatolt email,1 db,AL,,,
SZÉV2025-053,TRUE,GYE,02.05.,R,,2025.02.18.,BET2025/00558,,Szerviz Raktár,,,"Pneumatika / Fojtó-visszacsapó szelep R3/8 csatlakozó 8 mm-es csőhöz (AS3201F-03-08SA) 10-00005476-00
 Pneumatika / Fojtó-visszacsapó szelep R1/4 csatlakozó 8 mm-es csőhöz (SMC - AS2201F-02-08SA) 10-00016340-00 
Pneumatika / Fojtó-visszacsapó szelep R1/8 csatlakozó 6 mm-es csőhöz (SMC - ASP330F-01-06S), 10-00017038-00
Pneumatika / Fojtó-visszacsapó szelep R1/4 csatlakozó 10 mm-es csőhöz (SMC - AS2201F-02-10SA), 10-00016395-00",Csatolt email,"5 db
5 db
5 db
5 db",AL,,,
SZÉV2025-054,TRUE,GYE,02.06,PÜ,,2026.02.25.,BET2026/00645,,Szerviz Raktár,,,"Szűrő / Szűrőbetét FILTREC 20 bar-os (Hyp. D821G10B) -> (Hyp. PFH152N8S210MBXV szűrőhöz), 10-00015031-00",Csatolt email,5 db,AL,,Díjbekérőn van,
SZÉV2025-055,TRUE,GYE,02.06,R,,2025.04.07.,,,Szerviz Raktár,,,"Csapágy / 30TAC62CSUHPN7C ferdehatásvonalú golyóscsapágy NSK, 10-10001875-00 
Csapágy / 45TAC75CSUHPN7C ferdehatásvonalú golyóscsapágy NSK, 10-00007678-00",Csatolt email,"12 db
6 db",AL,,,
SZÉV2025-056,TRUE,ERA,02.06,R,,2025.02.27.,2025/000000297,,Trimble+Szerviz Raktár,TNL-100/130,,"3 színű toronylámpákba izzók
Világítótest / Tűlábas halogén izzó (G4; 24V; 20W),23-00000005-00,13t - Műhely világítótest
                                                Világítás / Izzó R10W 24V jelzőizzó (1 érintkezős) , 20-00002271-00, 13t - Műhely világítótest",Csatolt emai/ fotó,15-15-15 db,AL,,,
SZÉV2025-057,TRUE,ERA,02.06,R,,2025.02.14.,2025/000000235,,Trimble+Szerviz Raktár,TNL-100/131,,"Kábel fémszövött 4x0.75 (SY-JZ Art.nr.:12021),   21-00012021-00",Csatolt email,25 m,AL,,,
SZÉV2025-058,TRUE,GYE,02.07,R,,2025.03.08.,2025/000000359,,CONTITECH,BNC 466,,3VX 750 szíj ,,5db,Zsombori/Áa,,,
SZÉV2025-059,FALSE,LOG,02.10.,R,,,,,Szerviz Raktár,,,"Ventilátor 40x40mm-es 12V-os, 20-00000628-00",Csatolt email,20 db,AL,,,
SZÉV2025-060,TRUE,GYE,02.10.,R,,,,,Szerviz Raktár,,,"Henger Hidraulikus henger, 00-56012218-00",Csatolt email,3 db,AL,,nem teljes a szett,
SZÉV2025-061,TRUE,IMP,02.11.,U,,2025.04.24.,BET2025/01413,,Szerviz Raktár,,,"Tartalék / VD-510S / Szerszámtartó VD-510S-hez (új kivitel),10-00034178-00",Csatolt email,10 db,AL,,,
SZÉV2025-062,TRUE,IMP,02.11,PÜ,,AA megállította,,,Szerviz Raktár,MCD-3000 HM-1060,"Berkoa, SP","Gyártó: BERKOA
Géptípus: MCD-3000 / HM-1060
Gyári szám (M szám): -
Igény: MCD-3000 SZÉV készlet.jpg",Csatolt email,1 klt.,PI,"ÁA lsd email 06.11. 
Cylinder és deublin tuti nem kell?",,
SZÉV2025-063,TRUE,IMP,02.11.,R,,2025.02.27.,BET2025/00681,M20180,AMAZONE,HTL-92,,"HTL-92  P20158""  M20180 TBHMA-200 VDI 40/1/12 (K56.A200.2141C50.31) Sr: 16451, gy: 2021
Igény: 12 db hüvely (jelölve mellékelt fotón és/vagy rajzon) < ez fontos lenne, kérem szépen lehetőség szerint küldjétek minden igénynél
reference pin / alkatrész kód 80.0160.02604",Csatolt emai/ fotó,12 db,ZsP,,,
SZÉV2025-064,TRUE,IMP,02.11.,PÜ,,20025.05.16.,BET2025/01597,M20179,AMAZONE,HT-92Y,Sauter,"Sauter ARFC-A-032_(01) [ 76HTY SAUTER 0.5.436.220 VDI40(12T)(Rear),25mm,伺服馬達]
""HT-92Y  P20157"" > M20179 HT-92Y / Sauter 0.5.436.220/VDI40/12T revfej;
Igény: 12 db hüvely (jelölve mellékelt fotón és/vagy rajzon)",Csatolt emai/ fotó,12 db,ZsP,,,
SZÉV2025-065,TRUE,IMP,02.12,U,,2025.10.02.,BET2025/03218,,SZÉV Tartalék,SFM-760/MM-760,Microcut / Buffalo, Jobbos Forgácskihordó motor FME-22 1/4HP 100:1  (10-00029157-00),megérkezett Taksonyba!,"5 db/9 db érkezett,5 balos, 4 jobbos",ZSP,HAjóval jön majd gépek nellett (ETD): 9-Jun-25 (ETA):24-Jul-25,,POS: 25024/047 érkezik Taksonyba kb 08.10-14. között
SZÉV2025-066,TRUE,IMP,02.12,PÜ,,03.24,,,SZÉV Tartalék,,,"204/304 alaplap
20-00004603-03 EMBT-BT1_A31-3845-MSH   15 db",Csatolt email,15 db,ZSP,,,
SZÉV2025-067,TRUE,IMP,02.12,PÜ,,2025.06.13.,BET2025/01941,,SZÉV Tartalék,"KAFO RV-3122#746120
KAFO RV-4122#747112",KAFO,"Gyártó: KAFO
Géptípus: KAFO RV-3122 és KAFO RV-4122
Gyári szám (M szám): KAFO RV-3122 gysz:746120
KAFO RV-4122 gysz:747112
Igény: 
5605900010 Filter for cooler 10 db 
5605900011 Filter for hydraulic unit 10 db
5290000111 FRL unit 2 db
5291100071 Pressure switch for FRL unit 2 db
5300000391 Filter for coolant pump 10 db
5301200040 Oil-mist unit 2 db",Csatolt email,,AA,05.27 érkezik ATS,,
SZÉV2025-068,TRUE,GYE,02.13,R,1,"2025.02.18.
2025.02.19.
2025.02.20.
2025.03.04.","BET2025/00714 
BET2025/00731",M22087,METTEX,DUAL-65LY,,"Igény:
1 db AS3552 csapággyűrű
1 db AXK3552 csapágy
1 db d38,5xD52xL3,5 csapággyűrű (gyártatott)
2 db 6204 VV (surlódás mentes tömítéses) csapágy
2 db NOK SF KC 20x25x4 dupla ajkú szimering
1 db 35-ös tengelyre való seeger rögzítőgyűrű (A35)

Ház csapágyhely berágódás tisztázó marás Taksonyban
Szíj hajtáson lévő o-gyűrű tömítések cseréje, pótlása, méret még nem jött meg a Baruffalditól","Ezek is érkeztek:2db O-gyürü 82,22x2,62 NBR 70 Shore A
2db O-gyürü 94,92x2,62 NBR 70 Shore A
2db O-gyürü 133,02x2,62 NBR 70 Shore A
2db O-gyürü 139,37x2,62 NBR 70 Shore A
2db O-gyürü 202,57x5,33 NBR 70 Shore A
2db O-gyürü 37,69x3,53 NBR 70 Shore A","1 db AS3552 csapággyűrű -  ebből 3 db érkezett
1 db AXK3552  megérkezett
1 db 35-ös tengelyre való seeger rögzítőgyűrű (A35)   megérkezett/ 2 db 6204 VV (surlódás mentes tömítéses) csapágy/3-as tétel is megérkeztt",EG,,,
SZÉV2025-069,TRUE,IMP,02.13,R,,ok,,,SZÉV raktár,,,"Tartalék / Levegő előkészítő csésze burkolata / Mindman MACP300-10A (MAF300-S1),10-00033718-00  50 db
            Tartalék / Levegő előkészítő csésze / Mindman MACP300-10A (MAF300-S1),10-00033717-00   50 db",Nem lehet már rendelni külön SZÉV2024-332,50-50 db,AA,,,
SZÉV2025-070,TRUE,IMP,02.14,U,,2025.03.28.,BET2025/01076,M08122,KOKILLA PREC KFT.,Jinnfa JCL-60 (60A-0297;M08122),Jinn-Fa,"Gyártó: Jinn-Fa
Géptípus: JCL-60
Gyári szám (M szám): 60A-0297 (M08122)
Igény: 
Kérünk árajánlatot és szállítási határidőt X és Z golyósorsókra, X és Z golyósorsó csapágyakra.",,,AA,,,
SZÉV2025-071,TRUE,ERA,02.17,R,,2025.02.19.,2025/000000256,,Szerviz Raktár,,,"Kapcsoló / Omron E2E-C04S12-WC-B1 2m OMS (4mm-es, PNP/NO-s induktív érzékelő), 20-00002214-00
Kapcsoló / Omron E2E S05S12-WC-B1 2m OMS (5mm-es, PNP/NO-s induktív érzékelő), 20-00000018-00
Kapcsoló / Omron E2A-S08KS02-WP-B1 5M (8mm-es, PNP/NO-s induktív érzékelő, 5m), 20-00001208-00
Kapcsoló / Omron E2A-M12KS04-WP-B1 5M (12mm-es, PNP/NO-s induktív érzékelő, 5m)kiváltó típusa:E2E-X4B1T12, 20-00001207-00",,"1 db
2 db
3 db
5 db",AL,,,
SZÉV2025-072,TRUE,GYE,02.18,PÜ,,2025.07.07.,BET2025/02157,,Szerviz Raktár,,,"Pneumatika / Mágnesszelep (AirTac 4V310-10)
10-10014726-00",Csatolt email/fotó,5 db,AL,,utalásra vár,
SZÉV2025-074,TRUE,GYE,02.18,R,,2025.02.19.,,M18030,FÉMTEK 1971 Kft., KAFO-NCT KMC-2622,KAFO,YUKEN DSG-01-3C2-D24-51T / 2 db,,2 db,AA,,,
SZÉV2025-075,TRUE,GYE,02.19,R,,2025.04.04.,2025/000000495,PO00023/2025,SZIMIKRON,,,"Motorvédők, segédérintkező rendelése",email,,ZSP,,,
SZÉV2025-076,TRUE,IMP,02.19,U,,2025.06.02.,BET2025/01853,,SZÉV raktár,Buffalo,Buffalo / Microcut / AxILE,forgácskihordó motor balos ,Csatolt email/fotó,5 db/1 db érkezett,ZSP,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=166935094,,
SZÉV2025-077,TRUE,GYE,02.20,R,,2025.02.27.,BET2025/00783,M1171,SOMAPACK/SZÉV,ROYAL FŐORSÓ TH0575,,70BNR10STSUELP3 NSK csapágy,,4 db,ZSP,,,
SZÉV2025-078,TRUE,IMP,02.24.,R,,2025.03.03.,,M19004,Petrus kft.,KAFO-NCT BMC-2015-5AX,KAFO,HSD szögfej visszacsapószelepes csavar,,1 db,PI,,,
SZÉV2025-079,TRUE,ERA,02.24,R,,2025.02.26.,,M20017,Csaba-Berényi gépgyártó kft,KAFO-NCT BMC-2616,KAFO,RESI9 Áram-védő kapcsoló 63A,Csatolt email/fotó,1 db,PI,,,
SZÉV2025-080,TRUE,GYE,02.25,Á  ,,,,M20150,VÁMOSGÉP,WFQ-80 NCT11,,"
Egy árajánlatot szeretnék kérni Önöktől a 11-es megmunkáló központunk X
energialáncára.",,1db,ZSP,,ÜF válaszára vár,
SZÉV2025-081,FALSE,GYE,02.26,R,,,,M22087,SZÉV,Dual-65L,,Beállító eszközök,,1 db,PI,,Ignáctól rajzot várunk,
SZÉV2025-082,TRUE,IMP,02.26,Á  ,,,,M06270,NIVELCO ZRT.,TNL-130ADT(19474),TongTai,"Gyártó: TONG-TAI
Géptípus: TNL-130
Gyári szám (M szám): 19474 (M06270)
Igény: Főorsó és főorsó jeladó mechanika felújítása: csapágyak és szíjak típusai.",,1 klt.,AA,,,
